seed	12026029	poultation_size	100	mean	3.0	sigma	40.0
evals	GriewankProblem vlaue
    1	17.949078897543522
 1000	7.844775374643079
 2000	2.781992279758769
 3000	1.794504177573945
 4000	1.330091739414451
 5000	1.147982100742431
 6000	1.071616335177884
 7000	1.056444334893613
 8000	1.015631414566267
 9000	0.924177090932999
10000	0.694696681120729
11000	0.465178085985570
12000	0.517321134351316
13000	0.162961563021592
14000	0.114415723249611
15000	0.034053376548640
16000	0.026151958690700
17000	0.007204010422884
18000	0.007399163518366
19000	0.003139225051003
20000	0.001105233869811
21000	0.000459768417280
22000	0.000108371344274
23000	0.000054479120463
24000	0.000048128905258
25000	0.000014318378825
26000	0.000010048091742
27000	0.000004165019739
28000	0.000001246719762
29000	0.000000697947231
30000	0.000000404863889
31000	0.000000180744501
32000	0.000000192534551
33000	0.000000034233127
34000	0.000000027670596
35000	0.000000007767212
36000	0.000000005286456
37000	0.000000002671958
38000	0.000000001490903
39000	0.000000001075146
40000	0.000000000447663
41000	0.000000000206918
42000	0.000000000118780
43000	0.000000000029617
44000	0.000000000019153
45000	0.000000000007892
46000	0.000000000003602
47000	0.000000000001773
48000	0.000000000000769
49000	0.000000000000532
50000	0.000000000000152
50600	0.000000000000187
last result:	(-2.050283559945313e-07,-1.2807658792925446e-07,1.5895182958784107e-07,-3.745253631968963e-07,-1.1842724198164626e-07,9.777116487797098e-08,-3.0905466325417956e-07,-9.109146707592065e-08,-9.798387611385352e-08,2.706946438749854e-07,3.447720696529387e-07,-4.607896223207318e-07,7.544486844606666e-07,-6.623743942043258e-08,-6.024975232459986e-07,6.071022626851775e-07,-7.465066673305546e-07,1.0427339640236884e-07,1.1148972397118228e-07,1.2640602247838727e-07,-3.563320295306845e-08,-3.027220930692338e-07,-2.8668701698449555e-08,3.5856549108994565e-07,-6.793318701956137e-08,6.062869240728859e-07,-3.195235428482323e-07,7.126209121918371e-07,1.5484154599007005e-07,3.8770227967447e-07,5.327444752098134e-07,2.747587625590809e-07,7.171526540424696e-07,-1.0051853103684963e-07,4.4885087580920043e-07,-1.512122359113758e-07,8.47957081170816e-08,-4.3678517280411346e-07,1.7945859472614618e-08,-4.305336175858171e-07)
