seed	12026026	poultation_size	100	mean	3.3998200967545647e-10	sigma	40.0
evals	RastrginProblem vlaue
    1	36199.095185005753592
 1000	13612.644996973151137
 2000	5948.669609538776058
 3000	1696.741101171857736
 4000	743.330045547151485
 5000	515.467650237175803
 6000	538.021472085035953
 7000	530.994948284272255
 8000	374.529435720845981
 9000	435.994878505307611
10000	458.573609468922825
11000	407.275443501294490
12000	501.548733960473726
13000	374.003950279216099
14000	455.536673955484900
15000	406.360744488341709
16000	437.284784535444146
17000	472.974236336619924
18000	532.650525409359489
19000	388.502903217359233
20000	321.037028204264629
21000	292.167289098771789
22000	199.121988184447446
23000	65.855663503367524
24000	44.409730730260179
25000	28.017564861911566
26000	15.587195827350603
27000	14.720035359636610
28000	14.191939050125411
29000	14.014109407746592
30000	13.949450308389167
31000	13.938874720482563
32000	13.932653824184646
33000	13.930347640659431
34000	13.929701835378943
35000	13.929478902565595
36000	13.929446495148404
37000	13.929433535887751
38000	13.929429446902944
39000	13.929427170161908
40000	13.929426975932566
41000	13.929426856131167
42000	13.929426810141377
43000	13.929426805519915
44000	13.929426800374886
45000	13.929426799661055
46000	13.929426799419961
47000	13.929426799346547
48000	13.929426799315701
49000	13.929426799308210
50000	13.929426799306855
51000	13.929426799306297
52000	13.929426799306183
52200	13.929426799306157
last result:	(-5.120590042407506e-10,-0.9949586424321392,2.4081762004917656e-10,3.4920898445904163e-09,-0.9949586357160654,6.577155551763768e-09,-1.0125680254504149e-09,-2.9825848461443554e-09,-4.179899717595472e-09,1.0884947534179675e-09,-3.313295332948505e-09,-3.117342750535713e-09,0.9949586385384326,-6.367955375149149e-10,-3.766779361914377e-09,0.9949586356101052,2.6193206427048e-09,-0.9949586400179371,0.9949586330444719,-0.9949586339347744,-1.9032089042205085e-09,-1.645145998507395e-09,-1.5146221054960175e-09,4.843575048258551e-09,1.849924137567608e-09,-2.943743706763045e-09,0.9949586396047414,2.139128314066979e-09,-1.8460611212791345e-09,-0.9949586403639091,-0.9949586395051802,3.289957959265145e-09,3.407433846579837e-09,-0.9949586382106482,0.9949586372735596,3.98179531878339e-09,-0.9949586432362963,0.9949586365129544,1.632195472509296e-10,-2.9470964855093e-10)
