seed	12026027	poultation_size	100	mean	3.0	sigma	40.0
evals	AckleyProblem vlaue
    1	21.542310989363621
 1000	21.647111058753453
 2000	21.780086206466180
 3000	21.740031299394243
 4000	21.739908821221082
 5000	21.672374315477235
 6000	21.460607887406805
 7000	20.948196028937765
 8000	20.761516077557328
 9000	19.178092013920956
10000	15.528895851836708
11000	10.717873719736623
12000	10.283231104001928
13000	8.122831119979576
14000	6.363341985991653
15000	5.224739027950140
16000	4.139244709619589
17000	3.829335107785302
18000	3.329802729118967
19000	2.956150103641157
20000	2.119235401524858
21000	1.441116674173067
22000	0.859740473511583
23000	0.525112122881005
24000	0.446310154873285
25000	0.205670097388204
26000	0.127122026887506
27000	0.065507473109815
28000	0.069011178944308
29000	0.042579544955903
30000	0.024497909091185
31000	0.017997669926434
32000	0.012786771849566
33000	0.008143157029352
34000	0.005007223896883
35000	0.005881896342473
36000	0.002808676944639
37000	0.001646113985065
38000	0.001181903091958
39000	0.000596105346550
40000	0.000456863810765
41000	0.000390590787518
42000	0.000215352401196
43000	0.000164339820306
44000	0.000086150765857
45000	0.000078323681525
46000	0.000044336097549
47000	0.000029853060916
48000	0.000021352525409
49000	0.000015842139309
50000	0.000008208581932
51000	0.000006104435262
52000	0.000002900461638
53000	0.000002115658028
54000	0.000001740985209
55000	0.000001051403605
56000	0.000000666977851
57000	0.000000495137453
58000	0.000000336027800
59000	0.000000270474836
60000	0.000000214370019
61000	0.000000101640421
62000	0.000000084456076
63000	0.000000061550577
64000	0.000000040457480
65000	0.000000022983791
66000	0.000000017987528
67000	0.000000013544672
68000	0.000000007346181
69000	0.000000005727778
70000	0.000000003640871
71000	0.000000001967561
72000	0.000000001452172
73000	0.000000000815412
74000	0.000000000641951
75000	0.000000000433968
76000	0.000000000295963
77000	0.000000000131277
77800	0.000000000121674
last result:	(-3.5370068014848005e-11,3.9636951484318484e-11,-3.138768021700901e-11,1.040275317976759e-11,-5.1047996313935206e-11,-2.5854969909932865e-11,1.8118726807795983e-11,-2.397631400316179e-11,2.7997252770922286e-11,-1.6696558552247938e-11,-1.4973910580342415e-12,1.7743172431095704e-11,2.923524460114025e-11,-2.078781189603308e-11,-1.1475878461458842e-11,3.402121807560692e-12,-5.30279379219375e-11,2.1764226045376977e-11,-2.8232809478414275e-11,-6.887759884337364e-11,-3.091803227522762e-11,2.659615370637666e-11,3.5109443234700004e-11,-5.324186568426355e-11,-1.3048802598973957e-11,1.9846402340814454e-11,3.1232407625736166e-12,-5.126422001095136e-11,-4.0347237358772515e-12,3.695506880860065e-12,-3.5682695127650775e-11,-1.927390597557903e-11,-1.5065124238739278e-11,-2.3180388107102194e-11,1.2873556569783037e-11,6.030325744701934e-11,-1.9585803439047366e-11,-1.7475047170350042e-11,-3.135726890398151e-11,-2.088511018542624e-11)
