seed	12026028	poultation_size	100	mean	-1.4681173157742923e-10	sigma	40.0
evals	RastrginProblem vlaue
    1	101238.825972397258738
 1000	11386.740896306409923
 2000	3253.636112444556147
 3000	1371.085326841803180
 4000	661.520461737429400
 5000	551.624675893826748
 6000	427.238711907024651
 7000	481.317701608704795
 8000	447.416521144120509
 9000	505.457287499008828
10000	434.121911392904792
11000	443.826863263973394
12000	389.226743905082344
13000	370.927327585579121
14000	437.462838447585568
15000	350.517967218194087
16000	349.644382929064761
17000	376.974332592054225
18000	230.777483374730366
19000	128.941631429817477
20000	45.160872564151816
21000	27.860390363403532
22000	15.983056083875875
23000	14.059773155557721
24000	12.240223702496547
25000	12.142868311013322
26000	11.983200872663993
27000	11.959045818992520
28000	11.942393272310207
29000	11.940516863020637
30000	11.939844752155388
31000	11.939619482745625
32000	11.939534806870951
33000	11.939518481105161
34000	11.939511720960363
35000	11.939509458162366
36000	11.939509073821224
37000	11.939508803256176
38000	11.939508714329630
39000	11.939508693150021
40000	11.939508687326420
41000	11.939508686091388
42000	11.939508685529166
43000	11.939508685179710
44000	11.939508685137994
45000	11.939508685124851
46000	11.939508685121140
47000	11.939508685120041
48000	11.939508685119604
49000	11.939508685119563
49200	11.939508685119527
last result:	(0.9949586394906844,-8.572954204797232e-10,-2.662651511484415e-09,-1.3987790026629666e-09,-3.783746305976257e-10,1.1876348610293743e-09,6.85957386660744e-10,0.9949586389844896,-1.4422409901262253e-09,-1.670230200828323e-09,-3.4205712904153047e-09,-1.6333783938751206e-09,5.138653651682567e-10,-0.9949586375413444,-1.5371198892445766e-09,-2.473370027704229e-09,1.4702700588901482e-09,1.689619480082665e-09,1.1483936092067174e-09,-0.9949586368378399,0.9949586375107512,0.9949586381126173,1.2728895425261707e-10,0.9949586367474049,-2.4732209144912205e-09,-0.9949586338916844,-0.9949586354270501,-1.6638837177220768e-09,-2.879260837454144e-11,-1.2111713148968712e-11,4.624860829480805e-09,-1.5821161519767523e-09,0.9949586390832943,-3.6061627636787797e-09,-0.9949586369841127,-0.9949586393445758,6.059289756713351e-10,-3.321778752420513e-09,-1.2095212603941772e-09,1.0339097868847893e-09)
