seed	12026029	poultation_size	100	mean	1.5851348086636124e-09	sigma	40.0
evals	SphereProblem vlaue
    1	66762.378726881885086
 1000	9972.687580447629443
 2000	2653.090943539099953
 3000	854.637025926605361
 4000	205.390990513222420
 5000	62.669170768369057
 6000	21.714297806148487
 7000	4.017162388086544
 8000	1.924796622806702
 9000	0.545224863288135
10000	0.079420066515091
11000	0.019087583262053
12000	0.008146298293911
13000	0.001793814351938
14000	0.000725373534591
15000	0.000147088780339
16000	0.000057163685846
17000	0.000012177099913
18000	0.000004088233346
19000	0.000001275385934
20000	0.000000475946466
21000	0.000000193708163
22000	0.000000045155513
23000	0.000000014903539
24000	0.000000007481295
25000	0.000000001214060
26000	0.000000000662142
27000	0.000000000153069
28000	0.000000000047696
29000	0.000000000013317
30000	0.000000000004474
31000	0.000000000001319
32000	0.000000000000750
33000	0.000000000000114
34000	0.000000000000039
34100	0.000000000000044
last result:	(-1.8949693168968567e-08,-2.7301027924074646e-09,1.715174508657538e-08,-2.830460853294961e-08,-5.772170808272941e-09,2.3383614225506924e-08,-2.20314814869899e-08,4.922372821636198e-08,7.202378844249973e-09,-3.7321656520960035e-08,-9.767404867093176e-09,-7.860982094455296e-08,-3.9375062316618236e-09,5.0212667650089685e-08,1.9110486009442217e-08,-1.7147231788932392e-08,-3.118272263089203e-08,9.732106002660292e-09,-1.931796248519844e-08,-1.0454300960095504e-08,2.0324328970966364e-08,2.682891470672889e-10,2.716249864813914e-08,6.762616490760371e-09,-3.853424423018495e-09,1.4143513250874208e-09,1.0786486781210898e-08,1.5290547965091743e-08,-3.781676937717391e-08,-2.807170739713452e-09,2.8468547624182668e-08,-1.1095025588473864e-08,-2.7294890525838125e-08,5.371535497185353e-08,-1.1283238053871582e-07,3.622411559558478e-08,5.797986318303193e-09,3.911831575049122e-08,-5.194996114495714e-08,-2.3925223963125333e-08)
