seed	12026023	poultation_size	100	mean	-1.0232623093007945e-08	sigma	40.0
evals	SphereProblem vlaue
    1	90344.590046107114176
 1000	9207.732723051785797
 2000	2118.779596340714761
 3000	1091.838739322140100
 4000	230.703974720965761
 5000	70.584263237638012
 6000	21.206782920627866
 7000	8.021952915580554
 8000	1.791462192477290
 9000	0.696287173355989
10000	0.171417703452144
11000	0.045619604915277
12000	0.009276588320956
13000	0.005173465586809
14000	0.002692475544351
15000	0.000937193895102
16000	0.000215741628474
17000	0.000051209970914
18000	0.000020173640693
19000	0.000009468334350
20000	0.000001774809762
21000	0.000000485035506
22000	0.000000112040624
23000	0.000000034223446
24000	0.000000010234163
25000	0.000000003079320
26000	0.000000001547423
27000	0.000000000228976
28000	0.000000000042083
29000	0.000000000028988
30000	0.000000000005335
31000	0.000000000001465
32000	0.000000000000415
33000	0.000000000000174
34000	0.000000000000050
34000	0.000000000000050
last result:	(1.1176638146057873e-08,3.407481949810095e-08,7.756089528163712e-08,-5.2530547321630606e-08,-2.1128751900911678e-08,-5.148845323887925e-08,2.4835405015487197e-08,-6.24590192185336e-08,2.1869914575020104e-08,6.429430918642754e-09,-1.9729849032894988e-08,3.165852485686411e-08,-1.8444153999345368e-09,-3.13170579104924e-08,7.393331913954762e-08,-8.743000797183152e-09,1.6160314230504695e-08,-3.104563065121597e-08,2.6718548108127393e-08,8.044016748861859e-10,-6.596567347435318e-08,9.537085055585264e-09,2.271480724061242e-08,2.5757046263553565e-08,-5.689637555296488e-08,1.6853155529710707e-08,1.332355475863303e-08,4.168824940678209e-08,-1.5436292471805994e-08,-3.1244077490582074e-08,-2.5176201355229082e-08,-4.782472601108252e-08,1.3679289234289369e-08,9.296236466009981e-09,3.776703281809278e-08,9.206516399817599e-09,1.5335107122902643e-08,1.9182277879549376e-08,-2.619613660625433e-08,-5.6695340757280014e-08)
