seed	12026025	poultation_size	100	mean	-124.82935579815832	sigma	40.0
evals	SchwefelProblem vlaue
    1	16474.723498149280204
 1000	15773.929670591494869
 2000	14791.475999218444485
 3000	15013.798988096847097
 4000	14713.674525364140209
 5000	14161.513931237825091
 6000	13988.373739447386470
 7000	13921.962046595142965
 8000	13880.808630414161598
 9000	13872.839739637209277
10000	13865.645613393233361
11000	13863.293357990954974
12000	13860.172564402102580
13000	13859.307407917838646
14000	13858.845291970501421
15000	13858.773693461025687
16000	13858.717688962628017
17000	13858.657186162519793
18000	13858.660646370390168
19000	13858.653840119828601
20000	13858.646792027528136
21000	13858.644805290856311
22000	13858.643993737761775
23000	13858.643561988043075
24000	13858.643366096841419
25000	13858.643357151322562
26000	13858.643285669480974
27000	13858.643270955770276
28000	13858.643258478885400
29000	13858.643257213967445
30000	13858.643255795232108
31000	13858.643255628991028
32000	13858.643255136812513
33000	13858.643254770358908
34000	13858.643254682638144
35000	13858.643254646247442
36000	13858.643254634760524
37000	13858.643254628692375
38000	13858.643254626837006
39000	13858.643254626415001
40000	13858.643254625138070
41000	13858.643254624645124
42000	13858.643254624494148
43000	13858.643254624452311
44000	13858.643254624406836
45000	13858.643254624403198
46000	13858.643254624392284
47000	13858.643254624388646
48000	13858.643254624388646
49000	13858.643254624388646
50000	13858.643254624388646
51000	13858.643254624388646
52000	13858.643254624388646
53000	13858.643254624388646
54000	13858.643254624390465
55000	13858.643254624388646
56000	13858.643254624388646
57000	13858.643254624388646
58000	13858.643254624388646
59000	13858.643254624388646
60000	13858.643254624388646
61000	13858.643254624388646
62000	13858.643254624388646
63000	13858.643254624388646
64000	13858.643254624388646
65000	13858.643254624390465
66000	13858.643254624388646
67000	13858.643254624388646
68000	13858.643254624388646
69000	13858.643254624388646
70000	13858.643254624388646
71000	13858.643254624388646
72000	13858.643254624388646
73000	13858.643254624388646
74000	13858.643254624388646
75000	13858.643254624388646
76000	13858.643254624388646
77000	13858.643254624388646
78000	13858.643254624388646
79000	13858.643254624388646
80000	13858.643254624388646
81000	13858.643254624388646
82000	13858.643254624388646
83000	13858.643254624388646
84000	13858.643254624388646
85000	13858.643254624388646
86000	13858.643254624388646
87000	13858.643254624388646
88000	13858.643254624388646
89000	13858.643254624388646
90000	13858.643254624388646
91000	13858.643254624388646
92000	13858.643254624388646
93000	13858.643254624388646
94000	13858.643254624388646
95000	13858.643254624388646
96000	13858.643254624388646
97000	13858.643254624388646
98000	13858.643254624388646
99000	13858.643254624388646
99800	13858.643254624388646
last result:	(-124.82935642181813,-25.877416920338376,65.54786473985861,-124.82935686792513,65.54786536872768,65.5478659174592,65.5478653041789,65.5478646687182,65.54786462298797,65.54786465346179,65.54786541170175,65.54786573021069,-124.82935599288068,65.54786425291873,65.54786567814172,65.54786409648523,-25.87741781723357,-124.82935546340909,65.54786413516706,65.54786563365462,65.54786582824534,65.54786591176195,65.5478645296733,65.54786456231672,65.54786610579124,65.54786589739184,65.54786572299305,65.54786513784488,-124.82935657031406,65.5478648562979,65.54786596649237,-25.87741705854957,65.54786478381038,-124.82935656361575,65.54786618015571,65.54786395296443,-124.82935593922709,-124.8293557694052,65.54786585045538,65.54786559622741)
