seed	12026025	poultation_size	100	mean	3.0	sigma	40.0
evals	RosenbrockProblem vlaue
    1	21143609023.049697875976562
 1000	3057473477.264471054077148
 2000	3197544907.473990440368652
 3000	730676948.464478731155396
 4000	126636000.417812466621399
 5000	25302288.312881428748369
 6000	8656786.680453101173043
 7000	2537532.046144053805619
 8000	307821.984557778516319
 9000	67638.851089680756559
10000	53996.155436845772783
11000	11679.511116027661046
12000	5828.099555275322018
13000	2496.708809068408755
14000	523.893814263689251
15000	927.441134705992226
16000	408.442820427804804
17000	86.593876657243740
18000	73.800584385169302
19000	63.648744170363123
20000	49.205438151544691
21000	42.607129192643995
22000	40.102161105344308
23000	38.896525937046420
24000	38.541352808537781
25000	39.028436967144273
26000	37.868735980287731
27000	37.987146559426790
28000	37.384823731556232
29000	37.136915799741793
30000	37.252146234843607
31000	37.203154399516919
32000	36.500660555128668
33000	36.041919208516774
34000	35.848015716781568
35000	35.702836268797078
36000	35.559476730757872
37000	34.939261865288728
38000	35.662517733922520
39000	35.031189205736780
40000	34.744568059484912
41000	34.180618051999012
42000	34.071789391082191
43000	34.274363209034426
44000	33.920657715961752
45000	33.693109076852103
46000	32.957541099988816
47000	32.610039471979434
48000	33.242502268377258
49000	32.433028381889223
50000	32.362618931664080
51000	31.926188021972624
52000	31.885697899893657
53000	31.347058837793476
54000	31.105368966611898
55000	31.136878250540885
56000	30.791823306750011
57000	30.057717834136842
58000	30.221343386428224
59000	29.802901682444002
60000	29.614590117956666
61000	30.301087049116902
62000	29.884657912510143
63000	29.476640125726494
64000	29.371284468880738
65000	29.609555875033408
66000	28.780985492285172
67000	28.604581840413399
68000	27.869684714455779
69000	27.734964572371904
70000	27.298583718730512
71000	28.483651422127721
72000	27.632551150561923
73000	26.952839931985224
74000	26.901232364714918
75000	26.335838750004587
76000	26.405779172938786
77000	26.433980754068607
78000	25.688336886084535
79000	25.104974483013972
80000	25.220961562368018
81000	25.679279998076012
82000	25.094066009500196
83000	24.322541212788785
84000	24.540869516719397
85000	23.865105361388721
86000	23.652179813716668
87000	23.925350693097133
88000	23.421060784819062
89000	22.922948340074797
90000	22.734566043819246
91000	22.868772514308873
92000	22.870899125314359
93000	22.263155560433511
94000	22.217898083593102
95000	21.868125597349046
96000	21.669111710214260
97000	21.194400978125124
98000	21.161584723331405
99000	20.761478163940073
100000	20.897559796119850
101000	20.619524964784940
102000	20.477021591684128
103000	20.239886233402927
104000	19.960676081871668
105000	19.686822245142935
106000	19.190327200462285
107000	19.512162472559336
108000	19.041841699889858
109000	18.607591727412672
110000	18.421670367261346
111000	18.146359678599076
112000	18.189319273152673
113000	17.630412431350159
114000	17.668237412818449
115000	17.149016477165784
116000	17.300042400803342
117000	16.937194326838782
118000	16.612491206047149
119000	16.702091653766441
120000	15.821979634580597
121000	15.935097546534356
122000	15.560254798308108
123000	15.750782761806398
124000	15.246165778236282
125000	14.678327132208940
126000	14.467769250045666
127000	14.530181263760307
128000	14.374296880981039
129000	14.101260328136428
130000	13.958847527467395
131000	14.324552905626829
132000	13.727715242765925
133000	13.129632339760555
134000	13.030484115872715
135000	12.645108676134168
136000	12.544961460587688
137000	12.257586262268026
138000	12.714578102463873
139000	11.550943859858281
140000	11.805948283744272
141000	11.304067524186538
142000	10.946713082987385
143000	10.864876041869664
144000	10.433418007468982
145000	10.186318200658606
146000	10.187792652108362
147000	9.700360356980037
148000	9.648255255742608
149000	9.706155961653554
150000	9.007192389122272
151000	9.130139720422909
152000	9.099036040173770
153000	8.497402713890208
154000	8.506698187566903
155000	8.347223819334246
156000	8.307786473508127
157000	7.954727281537004
158000	7.763498799431946
159000	7.285549708367467
160000	6.973000813598000
161000	6.815782854190787
162000	6.508798105384402
163000	7.050854893140471
164000	6.426264558887032
165000	5.865533306181252
166000	5.581757340037889
167000	5.370749703307932
168000	5.354392114295163
169000	5.212197390765356
170000	5.058818498719766
171000	4.721209114051126
172000	4.245881267529595
173000	4.263507047409425
174000	4.151784177057202
175000	3.685658688771700
176000	4.268816522514187
177000	3.452781197846916
178000	2.991980725853309
179000	3.388116804998944
180000	2.729730335634154
181000	2.852000151111176
182000	3.436831999611858
183000	2.710378265296819
184000	1.798152934966484
185000	1.387440559038152
186000	1.580919096788970
187000	1.298501899248843
188000	1.107708441741118
189000	1.017041612991811
190000	0.885880986412975
191000	0.845010688072668
192000	0.481279087268051
193000	0.560772241314382
194000	0.398318949420743
195000	0.408075976897407
196000	0.310361070390396
197000	0.247423631895957
198000	0.178155483731946
199000	0.241259350646537
200000	0.139453663806330
201000	0.180136768805539
202000	0.075355113428731
203000	0.056352484685570
204000	0.038161888533853
205000	0.026279818819845
206000	0.017241770032457
207000	0.010188404411537
208000	0.004748515924855
209000	0.002631122021790
210000	0.002749225535897
211000	0.001798579459293
212000	0.000444984826487
213000	0.000455411841391
214000	0.000239934363114
215000	0.000080878849768
216000	0.000049029814384
217000	0.000016099012439
218000	0.000012029673904
219000	0.000003647428599
220000	0.000002079224062
221000	0.000001264975357
222000	0.000000747408916
223000	0.000000270086319
224000	0.000000113408691
225000	0.000000069243997
226000	0.000000025606046
227000	0.000000015240281
228000	0.000000005537064
229000	0.000000002869704
230000	0.000000000983648
231000	0.000000000621371
232000	0.000000000151571
233000	0.000000000092434
234000	0.000000000078009
235000	0.000000000044594
236000	0.000000000012513
237000	0.000000000013762
238000	0.000000000002956
239000	0.000000000001707
240000	0.000000000001125
241000	0.000000000000350
242000	0.000000000000138
242700	0.000000000000089
