seed	12026026	poultation_size	100	mean	0.9999999999372018	sigma	40.0
evals	RosenbrockProblem vlaue
    1	8434460002.540871620178223
 1000	679930156.245493888854980
 2000	103249026.590530708432198
 3000	9627014.150327606126666
 4000	412690.483514349907637
 5000	33885.711259994182910
 6000	43531.156017372799397
 7000	9419.393529109760493
 8000	1543.989429041848553
 9000	373.252964434631565
10000	162.099531194549741
11000	52.648435072591084
12000	48.042640020636433
13000	41.677035737178386
14000	39.010012337036393
15000	38.691926450130381
16000	38.299906698667392
17000	38.160097312381396
18000	38.066042064189496
19000	37.844790298163872
20000	37.285055791231564
21000	36.984638185787084
22000	36.965268625885344
23000	36.853412354346545
24000	36.384560859852030
25000	36.337521672924105
26000	35.392816256573262
27000	35.120879862625891
28000	35.166278824178256
29000	35.118467006763154
30000	34.512516140378608
31000	34.401972165075740
32000	33.795653522221343
33000	33.361444965877872
34000	33.293130828228819
35000	32.933860574736130
36000	32.907347974252616
37000	32.253183744497598
38000	33.855534546948221
39000	31.617875067723670
40000	31.726453107599795
41000	31.562212088361843
42000	30.653460292758194
43000	30.595284762021567
44000	30.628181527937322
45000	30.216560576013840
46000	29.664132265810732
47000	29.592623593981180
48000	29.341000950821371
49000	29.201958302779772
50000	28.797388847932925
51000	28.419838662423054
52000	28.466064596705753
53000	27.901021545904996
54000	27.829154112613470
55000	27.470794494908173
56000	27.549884755615867
57000	27.121642843696630
58000	26.664396253312450
59000	26.241126754953523
60000	25.946338275842791
61000	25.699993113364545
62000	25.362021346195935
63000	25.944847951877833
64000	24.924943493290399
65000	24.648864820536570
66000	24.929203776961490
67000	24.813092203583366
68000	24.004282399859303
69000	23.926125326613008
70000	23.744287923876591
71000	23.412000656303317
72000	23.535828606588879
73000	22.394071628379965
74000	22.057706017533345
75000	22.045530169250014
76000	21.632962255202553
77000	22.139369658625125
78000	21.234514047303691
79000	20.696360098885279
80000	20.476175692565839
81000	20.320001587551641
82000	19.746348769928836
83000	19.689123756741768
84000	19.439157629102159
85000	19.245347101236714
86000	19.717359163620920
87000	18.642690228360959
88000	18.732503012679086
89000	18.501287167730784
90000	17.514956021335760
91000	17.637415030101618
92000	17.191234289095270
93000	16.721372427665550
94000	16.682753960344062
95000	16.568998812752447
96000	16.685500830178917
97000	15.902330447294439
98000	16.197637071478198
99000	15.657503325037226
100000	15.248607140511430
101000	14.858369753063011
102000	14.629883732379428
103000	14.248920269153940
104000	14.228455295225210
105000	14.223402053927067
106000	13.927458907219219
107000	13.390575767880108
108000	13.182811342827275
109000	13.163200463376054
110000	12.445991890149919
111000	12.482263211354040
112000	12.026698763040294
113000	11.830143257100792
114000	11.894272617061143
115000	11.407607968648389
116000	11.431641037965795
117000	10.799658553197757
118000	10.429157936611956
119000	10.817132043484541
120000	10.005440940190013
121000	9.607180285310742
122000	9.388143714727070
123000	8.819259298688740
124000	8.485696815921518
125000	8.108175587227256
126000	8.108539891371230
127000	7.794574410553894
128000	7.744806936673251
129000	7.192615719620457
130000	7.648997591671852
131000	6.844779041368730
132000	6.553388347420571
133000	6.472547632860826
134000	7.380207651191066
135000	5.744383732623275
136000	5.560395739214140
137000	5.470326749934834
138000	5.585382545337270
139000	4.964051548013934
140000	4.972788029017098
141000	4.352030086256931
142000	3.856218659130545
143000	3.643001111419552
144000	3.332712232149541
145000	3.032123953971548
146000	2.963109564511562
147000	2.430216946589797
148000	2.351006456547659
149000	2.057839537565155
150000	1.693969120909068
151000	1.734170620915666
152000	1.335598625421758
153000	1.513591057579919
154000	1.049293475294456
155000	0.730112129324391
156000	0.609955132189764
157000	0.414681286509583
158000	0.391219034037250
159000	0.494408935597048
160000	0.206450231660759
161000	0.144869602944178
162000	0.146520932031096
163000	0.093616097775727
164000	0.045931421258896
165000	0.031714807276475
166000	0.015920432366468
167000	0.006335696080793
168000	0.003292595990185
169000	0.001415867466840
170000	0.000299776454978
171000	0.000091511214864
172000	0.000020168559722
173000	0.000014359857852
174000	0.000003023479040
175000	0.000000905070973
176000	0.000000154215762
177000	0.000000072289834
178000	0.000000016657098
179000	0.000000006755231
180000	0.000000002436346
181000	0.000000000389133
182000	0.000000000135830
183000	0.000000000051120
184000	0.000000000010008
185000	0.000000000005646
186000	0.000000000001787
187000	0.000000000000741
188000	0.000000000000211
189000	0.000000000000056
189100	0.000000000000058
last result:	(0.9999999999815941,0.9999999995956875,0.9999999989512762,0.9999999996705189,1.0000000022921385,0.9999999967753991,0.9999999982205123,0.9999999993006509,0.9999999966524618,0.9999999961206382,0.9999999951252944,0.9999999972654465,0.9999999993357148,1.0000000001698455,0.9999999977442052,0.9999999957070087,0.9999999965186219,1.0000000015511363,0.9999999980660077,0.9999999983032891,1.0000000015371873,1.0000000030044087,1.0000000015469075,0.9999999986596254,0.99999999923862,0.9999999985160853,0.9999999996262687,1.0000000010430248,1.000000001089774,1.000000000025198,1.0000000006171657,1.0000000002514087,1.0000000003731888,0.9999999985351402,1.0000000024944524,1.0000000028606653,1.0000000083251654,1.0000000161718106,1.0000000299309015,1.0000000697886173)
