seed	12026023	poultation_size	100	mean	3.0	sigma	40.0
evals	SchwefelProblem vlaue
    1	16899.516925092146266
 1000	16672.110077615572663
 2000	16360.336058714534374
 3000	16888.336600840142637
 4000	16037.642632965045777
 5000	15691.694217947597281
 6000	15500.119921175508352
 7000	14850.548223656245682
 8000	14504.120593087885936
 9000	14382.481132586028252
10000	14309.424469823217805
11000	14297.940928342643019
12000	14294.473986252845862
13000	14293.948748240931309
14000	14293.773388202022034
15000	14293.602531593332969
16000	14293.498790329473195
17000	14293.477694020542913
18000	14293.471873419635813
19000	14293.470412439868596
20000	14293.469518931957282
21000	14293.469334236880968
22000	14293.469274257404322
23000	14293.469262509866894
24000	14293.469256749325723
25000	14293.469254779383846
26000	14293.469254453870235
27000	14293.469254213012391
28000	14293.469254174027810
29000	14293.469254167093823
30000	14293.469254160201672
31000	14293.469254159375851
32000	14293.469254158831973
33000	14293.469254158753756
34000	14293.469254158717376
35000	14293.469254158706462
36000	14293.469254158704643
37000	14293.469254158702824
38000	14293.469254158702824
39000	14293.469254158702824
40000	14293.469254158702824
41000	14293.469254158702824
42000	14293.469254158702824
43000	14293.469254158702824
44000	14293.469254158702824
45000	14293.469254158704643
46000	14293.469254158702824
47000	14293.469254158702824
48000	14293.469254158702824
49000	14293.469254158702824
50000	14293.469254158702824
51000	14293.469254158702824
52000	14293.469254158702824
53000	14293.469254158702824
54000	14293.469254158702824
55000	14293.469254158702824
56000	14293.469254158702824
56700	14293.469254158702824
last result:	(-25.87741741146401,65.5478646222458,-124.8293558849531,65.54786495078375,65.54786440613272,65.5478649496626,65.5478652744741,65.5478651900271,65.54786523407823,65.5478644779124,65.54786521043808,65.54786528491061,65.54786451623173,-25.877417357291858,65.54786496346266,65.54786545493022,65.54786577579621,65.54786510651498,65.547865219673,5.239198774935012,65.54786542132108,65.54786539166979,65.54786430591716,65.54786457282054,65.54786508231734,65.54786482128056,65.5478642351332,65.54786409585427,65.5478649179511,65.5478654694409,65.54786501563223,65.54786550159201,65.54786582213163,65.54786545191644,65.5478651958618,65.54786504823838,65.54786538200031,65.54786516391275,65.54786410006476,65.54786565173475)
