seed	12026024	poultation_size	100	mean	-6.3428948010582804e-12	sigma	40.0
evals	AckleyProblem vlaue
    1	21.524869376887423
 1000	21.766115442447585
 2000	21.863544026397015
 3000	21.414656947555930
 4000	21.306101081330048
 5000	21.594907525364249
 6000	21.706200124160087
 7000	21.750319085825247
 8000	21.618285293252772
 9000	21.711711637903999
10000	21.830044958081320
11000	21.763753906732038
12000	21.876287981641315
13000	21.789897680171801
14000	21.631629028920731
15000	21.756582446722014
16000	21.859145133195096
17000	21.717502537593901
18000	21.652523231124324
19000	21.768275869095749
20000	21.614124152330476
21000	21.769902293340788
22000	21.565815889420886
23000	21.721887020081738
24000	21.691933498950785
25000	21.703777190742919
26000	21.776839555154424
27000	21.615914072148620
28000	21.723401332447327
29000	21.680224601197015
30000	21.835261791707655
31000	21.604695261508979
32000	21.752270478402373
33000	21.761539398535202
34000	21.853099562756746
35000	21.754825941771585
36000	21.758981814758545
37000	21.874950297052592
38000	21.716298465931459
39000	21.766388966535690
40000	21.936530896219054
41000	21.810912519123811
42000	21.795081324347972
43000	21.666428584561171
44000	21.510399076368568
45000	21.762412057660178
46000	21.774826430197866
47000	21.625101478139836
48000	21.920753966496612
49000	21.901311780530140
50000	21.710903885295938
51000	21.615176763384561
52000	21.750652456399472
53000	21.953258603163071
54000	21.826371444798170
55000	21.831652846173675
56000	21.613658419614367
57000	21.829587126882721
58000	21.698512694274026
59000	21.682692675404994
60000	21.626579218827054
61000	21.911375599088942
62000	21.763906282046381
63000	21.761940969139914
64000	21.739153348763480
65000	21.609425264596236
66000	21.778222088445155
67000	21.620896266089584
68000	21.660328115084493
69000	21.776208129878551
70000	21.711192406346093
71000	21.659891127793927
72000	21.629501659805772
73000	21.577735532737506
74000	21.653397754531490
75000	21.614041998471453
76000	21.720640527622994
77000	21.776654458693070
78000	21.664668096524569
79000	21.715654863173146
80000	21.621672090930264
81000	21.738646538538440
82000	21.738527062038212
83000	21.562773004292868
84000	21.865442862439121
85000	21.703710181061329
86000	21.801021703947566
87000	21.743955155427955
88000	21.609099653052134
89000	21.676133658921987
90000	22.020306463635642
91000	21.559332200034603
92000	21.873846762429924
93000	21.807627723686323
94000	21.820935433298985
95000	21.814368004859535
96000	21.641607267209483
97000	21.893192866860346
98000	21.732275893292730
99000	21.656475378170306
100000	21.577776720935752
101000	21.819084722927990
102000	21.425069971633164
103000	21.815371300448003
