seed	12026030	poultation_size	100	mean	-2.6607199913913916e-12	sigma	40.0
evals	AckleyProblem vlaue
    1	21.889467282482098
 1000	21.533237323974621
 2000	20.153137770298233
 3000	15.960095265748777
 4000	10.389783379952860
 5000	7.696390062740074
 6000	5.354883826880730
 7000	4.631312667845211
 8000	2.737300926629260
 9000	1.763906769345028
10000	0.828516339569039
11000	0.470850002172253
12000	0.151674564942159
13000	0.094933715665985
14000	0.036267139484839
15000	0.022596872971310
16000	0.013988650378927
17000	0.005719773700499
18000	0.003118465624468
19000	0.001713774113999
20000	0.001037467685884
21000	0.000531419896163
22000	0.000357550488144
23000	0.000182154155216
24000	0.000082392869445
25000	0.000042592759858
26000	0.000027632051563
27000	0.000015672011110
28000	0.000007983364072
29000	0.000005344232982
30000	0.000003209831548
31000	0.000001183666172
32000	0.000000522486307
33000	0.000000299032820
34000	0.000000170136908
35000	0.000000076672184
36000	0.000000043389694
37000	0.000000025171773
38000	0.000000013297904
39000	0.000000008800719
40000	0.000000003256990
41000	0.000000001765969
42000	0.000000001299924
43000	0.000000000684189
44000	0.000000000348905
45000	0.000000000199997
45600	0.000000000144081
last result:	(2.4651120999828587e-11,5.6339427501170304e-11,-2.917906838737401e-12,9.136955023849827e-11,7.29761088181449e-12,-7.81978629209778e-12,2.415604627885193e-11,-2.9345682554868815e-11,2.7081953238246416e-11,-2.9305608911804005e-11,-3.441042474739501e-12,8.001666548293382e-11,-1.0997237956872392e-11,-1.0096809907223109e-11,-4.752149929981283e-11,5.4529649952134214e-11,-2.7804625760427536e-11,-1.0037547257326766e-11,6.0073436185275405e-12,-3.401781446476539e-11,6.220070573689994e-11,7.772027367831941e-12,1.2404914729155157e-11,-3.9364167380179e-11,8.167173904484811e-13,4.255316411028979e-11,-3.256126427700834e-11,5.383769963980451e-11,-2.5143598850919875e-11,-4.327219981434537e-11,-3.332365459549834e-11,1.0170814919092664e-11,-3.540026683224301e-11,1.8989372939160535e-12,3.126046698205442e-11,-2.5349751071396285e-11,4.622104525022319e-11,-2.1089544072334705e-11,1.699752147079667e-11,4.245802259286441e-11)
