seed	12026021	poultation_size	100	mean	3.0	sigma	40.0
evals	AckleyProblem vlaue
    1	21.791801807091684
 1000	21.698066727387904
 2000	21.763311113321492
 3000	21.354154373363002
 4000	21.148103229966477
 5000	17.537738651012862
 6000	14.364814469283544
 7000	9.905023269970981
 8000	6.205720697743700
 9000	3.532905547981990
10000	3.005852466687280
11000	2.470885708950047
12000	1.490938308053722
13000	0.831246836632115
14000	0.284073169043957
15000	0.203632712529011
16000	0.066279453452041
17000	0.049532379927382
18000	0.022675279849424
19000	0.008888377279157
20000	0.004123804516493
21000	0.002248221583980
22000	0.000923687819217
23000	0.000567973282440
24000	0.000317343566824
25000	0.000170165572396
26000	0.000102995443559
27000	0.000049147795015
28000	0.000037437641240
29000	0.000014595636767
30000	0.000008055640031
31000	0.000003976628048
32000	0.000002418139769
33000	0.000001187116631
34000	0.000000699565824
35000	0.000000404115973
36000	0.000000159579106
37000	0.000000073629565
38000	0.000000047778887
39000	0.000000024193028
40000	0.000000015282787
41000	0.000000009081511
42000	0.000000005772542
43000	0.000000003158263
44000	0.000000001982635
45000	0.000000001163130
46000	0.000000000513893
47000	0.000000000290048
48000	0.000000000149769
48100	0.000000000159539
last result:	(-1.3711994184564577e-11,4.6350942720920546e-11,2.6893097241311337e-11,4.0914838966852235e-11,-4.019792432190312e-11,-2.6759005982309173e-11,1.2360883510394157e-11,1.2646310411292014e-11,3.333263653414837e-11,2.5930630641612516e-11,3.7206765510150835e-11,-7.348616210165214e-11,2.3460182603960455e-12,-1.2561154382215118e-11,5.889423536020002e-11,2.6583445181307937e-11,-9.21320895493288e-11,-5.426366109995289e-11,-4.878784861368022e-12,-1.499786074306496e-12,-1.2832640661244438e-11,4.1148948231325235e-11,6.313465094201341e-11,7.769740866511249e-12,-5.62752432087911e-11,3.884073690053814e-11,-5.468310998351383e-12,5.2064495196786483e-11,2.3259909027341516e-11,-3.157584054265699e-11,-1.6084700398469474e-11,1.988185088591787e-11,4.7710499073549e-11,-7.851518878481939e-11,-7.68245307289792e-12,-5.003140979023227e-12,-1.7636498697901887e-11,6.857410772602525e-11,3.452969235596836e-11,4.05323332281181e-11)
