seed	12026027	poultation_size	100	mean	3.0	sigma	40.0
evals	SphereProblem vlaue
    1	65647.338439745930373
 1000	26979.151707126115070
 2000	9551.879788374524651
 3000	4020.454796569859354
 4000	2525.330503753460562
 5000	1067.263442666742549
 6000	272.642101558127933
 7000	111.048515673275929
 8000	52.357721155539274
 9000	17.601098350079138
10000	7.775301974937276
11000	2.442457586792432
12000	1.143516513959231
13000	0.746964939529992
14000	0.280784657737093
15000	0.144539363495150
16000	0.052199578553514
17000	0.026035692444940
18000	0.014022919770488
19000	0.008734781271302
20000	0.003690910638073
21000	0.000994307377829
22000	0.000418872117792
23000	0.000254889662216
24000	0.000165479557111
25000	0.000072658424818
26000	0.000035508918646
27000	0.000017446908008
28000	0.000018747929575
29000	0.000008794682002
30000	0.000002657302254
31000	0.000001207521977
32000	0.000000589949519
33000	0.000000271609686
34000	0.000000076260853
35000	0.000000075499197
36000	0.000000018502047
37000	0.000000004621064
38000	0.000000004084558
39000	0.000000001609771
40000	0.000000000893827
41000	0.000000000611223
42000	0.000000000229402
43000	0.000000000045982
44000	0.000000000019585
45000	0.000000000013249
46000	0.000000000005264
47000	0.000000000003629
48000	0.000000000001928
49000	0.000000000001251
50000	0.000000000000274
51000	0.000000000000159
51300	0.000000000000171
last result:	(5.496156726989023e-08,4.1659969886039196e-08,-4.312466761356467e-08,-4.217067438691689e-08,6.026583619671155e-08,3.8521099422045184e-08,5.871346899341963e-08,-5.6514250698085015e-08,4.236433186573869e-09,8.142887671230478e-08,-2.919892875164905e-08,4.827730257767512e-08,-6.35950926789034e-08,2.539392783324868e-08,1.8145702397119396e-07,-1.535751375207825e-07,-7.753754355679308e-08,-8.306181421354049e-08,7.157264819302275e-08,3.148141579754809e-09,-7.509158547963208e-10,3.2418743386917684e-08,5.521724772513442e-08,-9.579287361263932e-08,-8.658610977367051e-08,-3.547758662382469e-08,-1.1874604903308956e-08,6.489933468300324e-08,8.956785069597349e-09,9.570666318173255e-08,-5.8757438423422534e-08,-8.11774277802249e-08,8.025136529970004e-08,-1.49119596747838e-08,-1.433678570561293e-08,-1.3848128999104007e-08,1.2862961720049229e-08,1.4202559965443584e-08,8.3629693822411e-09,9.44440102525429e-08)
