seed	12026022	poultation_size	100	mean	-6.3809424494492636e-12	sigma	40.0
evals	AckleyProblem vlaue
    1	21.734170051036902
 1000	21.644250494082282
 2000	20.951435529983776
 3000	20.814689421502983
 4000	19.557966867721685
 5000	17.565048931716962
 6000	14.762355695700316
 7000	12.550795766830111
 8000	8.358680618742184
 9000	7.490474232166745
10000	5.844337756154587
11000	5.248399373838314
12000	4.525661188415505
13000	4.028865874185989
14000	3.015237398353527
15000	2.227148334327332
16000	1.578195356163683
17000	0.712441683510552
18000	0.308840537669564
19000	0.220480629265357
20000	0.144978179511590
21000	0.049386863257606
22000	0.047508274929964
23000	0.031484873479933
24000	0.026681085370641
25000	0.012122208679604
26000	0.009151938213134
27000	0.005969762346187
28000	0.003791952498844
29000	0.003139827078332
30000	0.001776587693265
31000	0.001006809646740
32000	0.000704139072103
33000	0.000393419492689
34000	0.000299505492336
35000	0.000186919026266
36000	0.000139279118873
37000	0.000093687304525
38000	0.000068197193368
39000	0.000040836064607
40000	0.000028290863650
41000	0.000019149058350
42000	0.000012737618409
43000	0.000008775785215
44000	0.000005125025166
45000	0.000002964051359
46000	0.000001551387662
47000	0.000001321570633
48000	0.000001031117268
49000	0.000000842493549
50000	0.000000525512754
51000	0.000000321892732
52000	0.000000202665227
53000	0.000000159668656
54000	0.000000085463658
55000	0.000000061174401
56000	0.000000049411721
57000	0.000000037622336
58000	0.000000022169243
59000	0.000000015253836
60000	0.000000010415488
61000	0.000000006800527
62000	0.000000003874796
63000	0.000000002729703
64000	0.000000001618482
65000	0.000000000979160
66000	0.000000000826855
67000	0.000000000581246
68000	0.000000000349829
69000	0.000000000182372
70000	0.000000000125376
70000	0.000000000125376
last result:	(1.0124550837978415e-10,1.209837618603436e-11,-3.490352188204955e-12,-4.9416822339608626e-12,-9.678757036464295e-13,-4.250661006194568e-11,-1.8525066220309218e-11,2.2270044075193807e-11,-2.6424766494277005e-11,-1.3301460584080426e-11,5.343246948610077e-11,-6.279988453995629e-12,-1.792362335447644e-11,-6.333734400072783e-11,6.696634116452392e-12,-7.281266788605801e-11,1.36609630677998e-11,1.1573440066194612e-11,-5.008145674546122e-11,4.647045228603605e-12,-7.62444587020501e-12,-4.094811976551904e-12,-3.724746469016585e-11,-1.8506235226124713e-11,-3.018045966462847e-14,3.431359328408972e-11,-1.2936800031357621e-11,9.993333035066177e-12,-5.365709302110915e-12,-2.4734722583715228e-11,7.296769205129508e-12,2.4231796980903725e-11,2.4306654887335447e-11,2.9816706504341443e-12,-2.6800141891382486e-11,2.375254844347601e-11,6.717930359124808e-12,-4.6468407687775787e-11,2.1520870253498758e-11,-2.893276874523694e-11)
