seed	12026029	poultation_size	100	mean	3.0	sigma	40.0
evals	EllipsoidProblem vlaue
    1	13401765153.684253692626953
 1000	1445180491.066271781921387
 2000	1410394515.967383623123169
 3000	904738395.944464206695557
 4000	329269366.826297938823700
 5000	370879147.532798409461975
 6000	63627182.052113667130470
 7000	58257334.176952049136162
 8000	47975029.042866714298725
 9000	69946577.088677629828453
10000	16995327.581679310649633
11000	14638902.713014477863908
12000	18559918.338883597403765
13000	6033029.010038961656392
14000	5445152.926948408596218
15000	1982305.105759247438982
16000	2929272.080992302857339
17000	2501319.148425438906997
18000	1508080.159584052860737
19000	1533184.390964225865901
20000	1566850.698314731242135
21000	1068678.435836192918941
22000	642389.552408659947105
23000	662822.538788398960605
24000	432770.425838142109569
25000	227986.574073345633224
26000	203458.326283768925350
27000	154526.980151350522647
28000	107101.494947604718618
29000	85183.204550088077667
30000	72346.270498649028013
31000	59747.052576806498109
32000	61161.210144026954367
33000	44455.203258156812808
34000	49807.316998289534240
35000	54923.965108598094957
36000	49734.242154880310409
37000	43078.330710878894024
38000	26282.130139669887285
39000	21382.025279451620008
40000	12216.473938613940845
41000	7610.304859832792317
42000	5685.966850385107136
43000	3777.781247013222583
44000	2848.724314830354615
45000	2905.894219989736484
46000	2067.504295348793676
47000	1886.857563239055935
48000	1426.178840872595401
49000	1738.698058466876319
50000	806.194171689692325
51000	932.724037884264931
52000	636.225505263868172
53000	526.432602499504810
54000	422.351563351270727
55000	383.331089938552111
56000	340.177373198237717
57000	310.902613118170450
58000	240.475107020946893
59000	145.650564543725835
60000	70.437167546398086
61000	79.599631267733884
62000	33.623474476294625
63000	15.412863765024211
64000	13.593223043860654
65000	6.195081423032645
66000	3.173511723086020
67000	1.997689855784775
68000	0.867583584510349
69000	0.719691014227826
70000	0.477659823001435
71000	0.234016832746972
72000	0.127903730607424
73000	0.098176104285576
74000	0.060304532371310
75000	0.026391706245813
76000	0.021543573054210
77000	0.011558942693877
78000	0.010832188350624
79000	0.003604940893553
80000	0.001333518906716
81000	0.000864908419108
82000	0.000494711254015
83000	0.000117016722776
84000	0.000092640508634
85000	0.000036362152079
86000	0.000015000975474
87000	0.000009000889446
88000	0.000006145597480
89000	0.000003347658645
90000	0.000000840403283
91000	0.000000334359543
92000	0.000000119990913
93000	0.000000114235598
94000	0.000000049614468
95000	0.000000018882849
96000	0.000000009078742
97000	0.000000005489190
98000	0.000000001855939
99000	0.000000000963886
100000	0.000000000375188
101000	0.000000000140478
102000	0.000000000086654
103000	0.000000000034948
104000	0.000000000012518
105000	0.000000000003605
106000	0.000000000001821
107000	0.000000000001129
108000	0.000000000000471
109000	0.000000000000166
109500	0.000000000000175
last result:	(1.3917037103221882e-08,-1.8991002572056177e-08,2.0307826464896145e-09,2.4378158423355985e-09,-3.166898076850995e-08,4.143030797420429e-09,-8.804207403720525e-09,-9.210144367203605e-09,7.481022242049177e-09,-1.1780512765507741e-08,-2.8321437330011204e-09,-1.7481705801420805e-08,-4.753332239048399e-09,1.5465327729335147e-09,3.7051777163965845e-09,-2.5920265508079014e-09,3.3569402901579853e-09,1.8728124673089365e-09,-3.73848429038474e-09,1.7702451569959408e-10,2.493689591760857e-09,-2.0377413234313347e-09,1.2303300601579676e-09,8.849486886954667e-11,-1.2555532888047586e-09,6.048952893554519e-10,-6.636816922540651e-10,3.367339377543118e-10,2.0747829501247962e-10,4.570006756333111e-10,-8.57788186648885e-10,-3.2539857221213973e-10,2.387853517238415e-10,-1.6235288583083863e-10,1.7121679376853677e-10,9.124549767512377e-13,-8.219083179872469e-11,2.0320693242305023e-10,-8.764105248831048e-11,-1.0730865007513801e-10)
