seed	12026028	poultation_size	100	mean	3.0	sigma	40.0
evals	EllipsoidProblem vlaue
    1	5830129434.612276077270508
 1000	2925172505.111090183258057
 2000	1630354114.021351575851440
 3000	335218055.152867257595062
 4000	210930540.664671868085861
 5000	179050794.694738537073135
 6000	61541337.750828765332699
 7000	51414952.822517149150372
 8000	29137055.173512466251850
 9000	14551877.026055714115500
10000	5274607.296772598288953
11000	5189874.968295469880104
12000	1140131.938290770165622
13000	1655695.705105830449611
14000	1345409.187395780812949
15000	928069.740052477107383
16000	638579.811506934813224
17000	403145.244326079671737
18000	372454.740073635708541
19000	330844.211865028948523
20000	306370.368039265333209
21000	199842.790069034206681
22000	179315.205017051863251
23000	144347.737528876925353
24000	109408.827688062970992
25000	105237.038035070305341
26000	60916.511733525898308
27000	58365.849247298734554
28000	43161.165681200844119
29000	36366.559134583789273
30000	26531.497939542132372
31000	16759.380480226995132
32000	11149.032431731629913
33000	9943.596434413328097
34000	7818.539167816199551
35000	5371.635432783813485
36000	4181.871655217728403
37000	2946.209026904849452
38000	3044.037091257082920
39000	3385.455337996373601
40000	2221.262792602637546
41000	1603.696857484316979
42000	986.601694877699515
43000	1099.008267695342511
44000	594.938568826808932
45000	348.279825611920558
46000	234.053411535282237
47000	173.467594916897554
48000	110.183954311311737
49000	101.989242300466728
50000	27.628619747504320
51000	15.914498035752244
52000	10.583931572254276
53000	13.227318449576622
54000	4.640728711379495
55000	4.020708526216983
56000	1.504958885260042
57000	0.255666377663512
58000	0.128213106503998
59000	0.038466592905871
60000	0.006918220763797
61000	0.002597301577457
62000	0.000919051394916
63000	0.000385260399063
64000	0.000107419009406
65000	0.000036129387228
66000	0.000006969584209
67000	0.000002651503164
68000	0.000000518526448
69000	0.000000224263844
70000	0.000000074601920
71000	0.000000016249125
72000	0.000000006754784
73000	0.000000001079962
74000	0.000000000305615
75000	0.000000000122617
76000	0.000000000025494
77000	0.000000000007522
78000	0.000000000002299
79000	0.000000000000418
80000	0.000000000000158
81000	0.000000000000045
81000	0.000000000000045
last result:	(-4.6679256737528474e-08,-4.1448515847505695e-08,2.238598780323254e-08,9.266722880283254e-09,-1.606758870782931e-09,-9.036208165604688e-09,8.903015893494237e-09,8.207078640608573e-09,-6.990098315261307e-09,-1.4236018880985959e-08,1.0092915067238571e-08,1.183648547674268e-10,-3.7157862929526944e-10,1.486563549243846e-09,-5.211171268141291e-09,-2.0610419779245425e-09,8.498110405236122e-11,-1.020903617607923e-09,1.9281181412375322e-09,9.865011874308548e-10,-3.4110748809538413e-10,-2.5054762852499316e-10,-8.236727151562371e-11,-2.18459673319757e-10,-6.475817427494563e-11,3.9584123316948303e-11,6.929080059082757e-10,2.2774934102361367e-10,6.42280455084389e-11,-3.75336686874374e-11,-5.3190264873580375e-11,1.5764141930699276e-10,3.3407214411503696e-11,-1.618233856936675e-10,-1.2936610619992387e-10,-1.4273037708566188e-10,-1.809465446343154e-11,1.1189561505972113e-11,2.9135239693941946e-11,3.320132528553105e-13)
