seed	12026023	poultation_size	100	mean	2.3580098797153607e-08	sigma	40.0
evals	GriewankProblem vlaue
    1	23.586147524025630
 1000	5.310002717331406
 2000	2.329157082246188
 3000	1.952118125362674
 4000	1.477370567578147
 5000	1.291436256128803
 6000	1.128704668034888
 7000	1.066439890911952
 8000	1.044337040903258
 9000	1.035914288671584
10000	0.643598653201482
11000	0.311579161580194
12000	0.147622549740954
13000	0.092097248383816
14000	0.064361665438742
15000	0.048751575907547
16000	0.015053371701552
17000	0.006801002374079
18000	0.002134577772097
19000	0.001509047645411
20000	0.000598492091374
21000	0.000298933163105
22000	0.000095112716893
23000	0.000056298292778
24000	0.000030403990179
25000	0.000012116197487
26000	0.000007959779516
27000	0.000001989276642
28000	0.000000804245379
29000	0.000000563520435
30000	0.000000110658398
31000	0.000000042893532
32000	0.000000018179139
33000	0.000000006966876
34000	0.000000003309496
35000	0.000000001884235
36000	0.000000000629342
37000	0.000000000368917
38000	0.000000000163139
39000	0.000000000092780
40000	0.000000000028293
41000	0.000000000009728
42000	0.000000000007417
43000	0.000000000004084
44000	0.000000000001370
45000	0.000000000001735
46000	0.000000000000577
47000	0.000000000000173
48000	0.000000000000116
48100	0.000000000000104
last result:	(-4.894136775647844e-08,-9.120331932297592e-08,-1.1048421457005315e-07,1.3532731821215125e-07,1.680718395495908e-08,-2.738343557464054e-07,2.2816770823575614e-07,2.0892554325092616e-07,2.6844779080813505e-07,8.493667118766842e-08,1.865887738426516e-07,-1.9911878198447082e-08,2.790184585255111e-07,-9.337605996504518e-08,-2.025640284955836e-07,5.948366386592696e-07,-2.855248501734218e-07,2.3775830275861882e-07,5.615950428560044e-07,8.706701669646121e-08,-4.912936600338796e-07,1.71426015515424e-07,-4.999436231840305e-08,4.6837487374521244e-07,-3.254010486902717e-07,-2.447227061952906e-07,1.9895942729054529e-07,3.4840661086828793e-07,4.505290188156022e-07,-2.3345450446325454e-07,-3.245697529065102e-08,6.223851900412699e-07,6.179638839957354e-07,6.335563536899725e-07,-1.6709929499344745e-07,4.141067798148312e-07,1.303709188200525e-07,2.239862867127233e-07,5.083773400053393e-07,4.2214176788020186e-07)
