seed	12026030	poultation_size	100	mean	-1.6975886355821471e-09	sigma	40.0
evals	EllipsoidProblem vlaue
    1	3274748128.891242980957031
 1000	2525657493.196943759918213
 2000	1715041336.995969057083130
 3000	943905371.958217859268188
 4000	492666560.345387816429138
 5000	352589838.142319917678833
 6000	385370095.645433366298676
 7000	359891126.283068716526031
 8000	90611827.770778313279152
 9000	58032943.204505622386932
10000	78023454.496132761240005
11000	46697462.798236154019833
12000	12525463.301951263099909
13000	9455122.906101826578379
14000	12170268.814592545852065
15000	13661537.723419051617384
16000	6033525.028178146108985
17000	4030387.522071686573327
18000	4186463.769884291104972
19000	2051945.243135573575273
20000	2440567.119666092563421
21000	1946939.527670617448166
22000	1562215.165905209491029
23000	1146025.127503487281501
24000	850332.940100173931569
25000	456369.340513852715958
26000	418912.721118434506934
27000	290093.494439509871881
28000	233897.244409509323305
29000	228557.388898135366617
30000	232976.200696586718550
31000	157349.315477352269227
32000	133045.856321791914525
33000	126627.417468666870263
34000	90181.228063898088294
35000	99147.472430227469886
36000	71849.578482818367775
37000	45348.633901851033443
38000	48891.522141593675769
39000	50646.662045560551633
40000	41433.749697046507208
41000	29853.528796743819839
42000	56915.645944671276084
43000	28541.963732000062009
44000	27143.713292444088438
45000	19233.885572150633379
46000	14608.008753878564676
47000	12001.077675668006123
48000	8628.806021508413323
49000	7564.841639555560505
50000	5343.342857652713064
51000	5370.591560863035738
52000	5370.728373428249142
53000	4003.446579971107894
54000	4114.451173569882485
55000	3135.453785046837311
56000	2773.151501288872169
57000	1592.098915544394686
58000	1620.185334091814184
59000	906.994158454451963
60000	765.552677053803905
61000	459.228620508085612
62000	327.349580590369044
63000	163.579239485541962
64000	198.161901327532348
65000	127.821751343854004
66000	41.909635835779646
67000	27.725609280489365
68000	16.190895591253135
69000	7.211898505164572
70000	3.801844171110599
71000	2.605000436998594
72000	1.851666432507829
73000	0.881202375799397
74000	0.408249683029669
75000	0.168944815652224
76000	0.107951223859822
77000	0.035591688984069
78000	0.018249521019757
79000	0.004379790906122
80000	0.003383937290625
81000	0.001465001111817
82000	0.000956677952475
83000	0.000307528432681
84000	0.000155944650274
85000	0.000066022761572
86000	0.000020042781130
87000	0.000015092887970
88000	0.000003092933009
89000	0.000002747712141
90000	0.000001470030484
91000	0.000000381592008
92000	0.000000175869067
93000	0.000000127768355
94000	0.000000042217468
95000	0.000000028414054
96000	0.000000016798264
97000	0.000000008547692
98000	0.000000002725390
99000	0.000000001354715
100000	0.000000000814037
101000	0.000000000202808
102000	0.000000000134076
103000	0.000000000053714
104000	0.000000000019204
105000	0.000000000006724
106000	0.000000000004091
107000	0.000000000001716
108000	0.000000000000710
109000	0.000000000000544
110000	0.000000000000315
110900	0.000000000000172
last result:	(1.0058573256764813e-07,4.519331917874815e-08,-3.384069688475308e-08,-9.664656323586923e-09,1.8956071143622338e-08,-1.7958813764510334e-09,3.47894299784478e-08,-2.481622322600196e-08,4.128511102453902e-10,-8.383541896082433e-09,4.51282488086518e-09,-8.848370598579665e-09,1.0705611054699161e-08,4.4917500096985516e-09,-2.0196375501073336e-09,-1.2693699893377018e-09,-3.834369182888724e-09,5.930091977649955e-09,-4.403292685503854e-09,-9.67227550709947e-10,-2.950691187787879e-11,4.4872760043805316e-10,4.6087463721271434e-10,5.636269291282567e-10,-5.697061372165577e-10,2.2932593553517584e-10,4.5106896485606134e-10,-9.976104842302865e-10,-3.1050331484695917e-10,-1.0930815496648602e-10,-3.10583306982221e-10,-4.2574476455741324e-10,4.931497575506897e-10,-2.572028233685143e-10,1.9592683008482914e-10,9.178977504845661e-11,-1.4580371186147806e-10,1.4261020128437495e-11,-1.1228478228720735e-11,-8.580550262273043e-11)
