seed	12026025	poultation_size	100	mean	1.0706374289395275e-11	sigma	40.0
evals	AckleyProblem vlaue
    1	21.523962754316166
 1000	20.112694530215808
 2000	19.081836854545752
 3000	15.548647876549930
 4000	11.785217978325903
 5000	7.279845521872017
 6000	5.145193979026548
 7000	3.870406041564796
 8000	2.582208493043876
 9000	1.428023600135767
10000	0.750209831099558
11000	0.283419136420591
12000	0.092774703401002
13000	0.049439489878001
14000	0.020105384952136
15000	0.014401316364478
16000	0.006753962755483
17000	0.002240379725688
18000	0.001593726150891
19000	0.001163051563925
20000	0.000586154328734
21000	0.000325965167467
22000	0.000180993947624
23000	0.000101532979447
24000	0.000041115434673
25000	0.000031525965355
26000	0.000014339876369
27000	0.000008709541089
28000	0.000003315656603
29000	0.000002312696183
30000	0.000001291729625
31000	0.000000847820772
32000	0.000000450363427
33000	0.000000212385775
34000	0.000000123667718
35000	0.000000072247474
36000	0.000000042547637
37000	0.000000015809878
38000	0.000000010993770
39000	0.000000006284623
40000	0.000000003219413
41000	0.000000001220571
42000	0.000000000654744
43000	0.000000000423402
44000	0.000000000203400
44600	0.000000000149023
last result:	(-2.5250152405885672e-11,1.71860338070798e-12,-2.3949917702622162e-11,-2.1484402205807972e-11,-2.705453438113091e-11,-1.3230198561032818e-11,-7.375454372555881e-11,-5.5020709639855e-13,4.0288207234350894e-11,4.392034287065538e-11,-1.699196759852528e-11,3.020717245184564e-11,1.1832683516183741e-11,8.673716068417765e-11,4.12136971932829e-11,5.022092633802046e-11,-4.5177149356318345e-11,7.053377215626474e-11,1.1737223250077572e-11,-5.30148178630064e-11,-3.820841771966874e-11,8.068321531512832e-11,2.1415043795893847e-11,-3.9324825455818077e-11,8.497282851131144e-12,-1.4452142546377418e-11,2.416276061756561e-12,-4.051088484128646e-12,-3.4042113393931846e-11,1.8978253323623647e-11,1.2692571811403895e-11,-3.833844142152066e-11,2.8134636145522265e-11,-1.2033351685071982e-11,-1.350669270137947e-11,-5.671626872066756e-11,-1.6928582374562922e-11,1.8600481483098486e-11,-3.670100716007543e-13,-4.996765201086778e-11)
