seed	12026025	poultation_size	100	mean	3.0	sigma	40.0
evals	GriewankProblem vlaue
    1	14.726184452784368
 1000	4.685268255661674
 2000	2.178547328290131
 3000	1.470357172976887
 4000	1.146088585784241
 5000	1.036437070893305
 6000	0.972748073092599
 7000	0.931069393644119
 8000	0.420335906796840
 9000	0.194628884850566
10000	0.105154641457489
11000	0.049575851970210
12000	0.013873785937795
13000	0.007576834715015
14000	0.001458699456599
15000	0.000975983271820
16000	0.000270838569256
17000	0.000036077440744
18000	0.000016626401392
19000	0.000008431861776
20000	0.000001613050488
21000	0.000000487857272
22000	0.000000199281224
23000	0.000000047735478
24000	0.000000013930170
25000	0.000000006916499
26000	0.000000001240526
27000	0.000000000436085
28000	0.000000000092595
29000	0.000000000023244
30000	0.000000000009292
31000	0.000000000003672
32000	0.000000000001506
33000	0.000000000000465
34000	0.000000000000228
35000	0.000000000000070
35000	0.000000000000070
last result:	(-9.845245352713793e-08,-8.961575888550404e-08,9.122026597633545e-08,-1.2881542632161374e-07,-1.1946670487506032e-07,2.30996694949441e-08,5.982249757143154e-08,9.891180702309538e-08,-7.030642603179524e-08,-5.261514467673566e-08,-6.951393325969075e-08,3.59745347343796e-08,1.8764523716305148e-07,-3.2333195208857536e-07,1.8765073555828628e-07,-1.8683766091224025e-07,-4.2816156584143523e-07,-1.9749288381983038e-07,8.812288376569734e-07,-2.8260939692725257e-07,1.5113441875241483e-07,-2.971626746199069e-07,1.2073604331332315e-08,8.3363530454946e-08,3.040997950581281e-08,-2.786328863398613e-08,-2.029633048590183e-09,4.133721186800883e-08,-1.767340309946147e-07,-7.199612565450221e-08,2.724284621473944e-07,-1.621420734796209e-07,-4.868282466721135e-07,6.375012435816377e-07,3.089084593714149e-08,3.829448568552548e-07,-2.099066221906641e-07,-3.5855815578416953e-07,7.318928060284602e-08,2.974739913139952e-07)
