seed	12026029	poultation_size	100	mean	3.0	sigma	40.0
evals	RastrginProblem vlaue
    1	68228.735856229395722
 1000	30288.322040777085931
 2000	14462.100130429111232
 3000	6361.071282680582044
 4000	2733.398842634505854
 5000	1522.719899456264329
 6000	825.690250150530687
 7000	653.924506989610222
 8000	646.413563257849432
 9000	559.366014350058435
10000	447.438275048984110
11000	470.301879116820601
12000	376.266156140200053
13000	466.202807888823770
14000	461.546695211902716
15000	487.450328762822608
16000	400.563835875311270
17000	469.054550533669840
18000	395.886496265244091
19000	431.359609242494628
20000	422.225779709964513
21000	400.720493718528587
22000	491.416841166029485
23000	468.001083689384018
24000	382.367808932065827
25000	388.441106234082895
26000	459.565122441897643
27000	379.209979646508600
28000	425.321016680094203
29000	409.712767438234437
30000	450.809927116868607
31000	450.578529484786088
32000	474.208146761668900
33000	452.093281103617585
34000	416.758550726970554
35000	481.293063528243749
36000	361.796745646515319
37000	462.866357097869411
38000	346.952801219034995
39000	470.447799251120784
40000	423.456882850287911
41000	437.994427635416059
42000	462.918638298647863
43000	309.955613701152856
44000	228.633710173926801
45000	165.022049797518463
46000	109.093300460991486
47000	71.633448874460242
48000	44.700491808204880
49000	37.868944000936267
50000	21.652423541820465
51000	20.305716928652053
52000	15.116704065543839
53000	12.852859884059193
54000	12.552002941418896
55000	12.226077316179449
56000	12.113745693309449
57000	11.996566403780140
58000	11.959650020367397
59000	11.950628806188195
60000	11.943709040260478
61000	11.940665816741479
62000	11.940262803151692
63000	11.939793140981187
64000	11.939635073292163
65000	11.939603183670265
66000	11.939537441626646
67000	11.939518523187441
68000	11.939515972663703
69000	11.939512964708515
70000	11.939510477437366
71000	11.939509908681760
72000	11.939509126116622
73000	11.939508875992273
74000	11.939508773728324
75000	11.939508713793673
76000	11.939508699431659
77000	11.939508691305791
78000	11.939508688349244
79000	11.939508687342977
80000	11.939508686069559
81000	11.939508685679067
82000	11.939508685354653
83000	11.939508685197891
84000	11.939508685157012
85000	11.939508685135324
86000	11.939508685126606
87000	11.939508685122924
88000	11.939508685121352
89000	11.939508685120266
90000	11.939508685119788
91000	11.939508685119623
91300	11.939508685119680
last result:	(-3.5630575681511393e-09,-0.9949586325187594,6.8042438882200755e-09,-2.354838519372191e-09,-4.204534058550376e-09,-1.6359490181382893e-09,-5.925697785392684e-09,-5.153582910161016e-09,-5.766746039391524e-10,-3.9413399886566195e-09,-4.304237966324593e-09,-4.528184271891018e-09,-4.155795778054811e-09,-0.994958641667124,-0.9949586418019196,2.005420958220415e-09,-7.415744737018332e-09,0.9949586381852824,-4.257150064001424e-09,-0.994958648571489,5.655636340865115e-10,2.083670957983193e-09,-0.9949586406150249,-0.994958641084829,0.9949586482824323,0.9949586322328119,1.593096990650346e-09,8.095830577383409e-09,-3.9195779489313745e-09,-5.484494373660252e-09,-0.9949586436736549,2.312938049934511e-09,-9.702441107382916e-10,2.685160153042751e-09,3.876894149071985e-10,0.9949586398354916,5.561274261178692e-10,-9.413386174060923e-09,-9.008579958695644e-10,0.9949586320612389)
