seed	12026030	poultation_size	100	mean	-1.6839636301827317e-08	sigma	40.0
evals	GriewankProblem vlaue
    1	16.489948068184319
 1000	3.666093552643287
 2000	1.677367341112598
 3000	1.160585568835959
 4000	1.035997256234673
 5000	1.042168078748528
 6000	0.593972948040359
 7000	0.411912205970740
 8000	0.100603731540967
 9000	0.039492838074885
10000	0.017249917729037
11000	0.007560944673126
12000	0.001196852655555
13000	0.000634577158945
14000	0.000211584061766
15000	0.000066858531610
16000	0.000025455766890
17000	0.000005053787942
18000	0.000001693956525
19000	0.000000607083161
20000	0.000000176670062
21000	0.000000070284110
22000	0.000000032482447
23000	0.000000010430843
24000	0.000000002755535
25000	0.000000000654005
26000	0.000000000321571
27000	0.000000000074425
28000	0.000000000021190
29000	0.000000000007513
30000	0.000000000004019
31000	0.000000000000493
32000	0.000000000000156
33000	0.000000000000072
33200	0.000000000000033
last result:	(1.0802618794159604e-08,2.2472167116554018e-08,4.812118734153041e-08,6.458454400659702e-08,6.8093844017170235e-09,4.345862486183256e-08,-4.7350682534837484e-08,-2.658250250007102e-07,-7.395677235498943e-08,2.664959840019313e-08,-4.1921776801229433e-08,2.4691425542118836e-07,-2.9687695831689363e-07,2.782101609849443e-07,1.9191794204546617e-07,4.81730360932098e-08,-5.710124859191814e-08,3.6294706180588984e-07,-2.3960672756597026e-07,5.057920986235433e-09,1.6302559097670484e-07,7.570434858130326e-08,2.184521018562815e-07,-4.292860486656962e-08,1.6215064888519864e-07,-1.8965877687994214e-07,-3.1181657021496965e-07,3.782326968394098e-08,1.9066470078520472e-07,8.532556424552313e-08,2.3318089651175348e-07,3.7761238794434156e-07,-1.1486389386621803e-07,2.6499498989110195e-09,4.5473605834268105e-08,-1.2284217982892812e-07,-3.589282862861764e-07,7.58055198317721e-08,1.7950063057963962e-08,-1.1820080417616616e-07)
