seed	12026030	poultation_size	100	mean	1.0000000008712508	sigma	40.0
evals	RosenbrockProblem vlaue
    1	28393343696.024196624755859
 1000	2118980900.405383348464966
 2000	219508652.064973831176758
 3000	8770843.941593522205949
 4000	1289325.503154106903821
 5000	263916.810391055129003
 6000	84644.453914128389442
 7000	26805.684865515289857
 8000	5755.761287458451989
 9000	2464.546239354704085
10000	3153.821322041196254
11000	2793.883754989901263
12000	1636.149051882603317
13000	1416.360664279608727
14000	530.040298868254467
15000	372.248436176012319
16000	259.694337308914783
17000	78.786767122162729
18000	54.686100071027298
19000	48.245691159271637
20000	42.202504825333520
21000	39.935562347139566
22000	39.007284735991874
23000	38.780864512953791
24000	38.487175626077665
25000	38.261088886439047
26000	38.139821290577622
27000	38.446773410704708
28000	37.667659471725500
29000	38.103535754257869
30000	38.032757016118971
31000	36.334055335366259
32000	35.942194412379074
33000	35.967910110052614
34000	35.380435709054787
35000	35.074158703980693
36000	34.924712945101440
37000	34.932187614069370
38000	34.080012119355210
39000	34.248941254102022
40000	33.071358072113824
41000	33.099271951220018
42000	33.483033314847056
43000	32.757191861498441
44000	31.933856588988938
45000	32.132073561901144
46000	31.764113655657280
47000	31.838186929308815
48000	30.768221659413229
49000	30.459417396591661
50000	30.252235645507493
51000	31.846005796820918
52000	30.047749096793947
53000	29.517779293106901
54000	29.186035331669103
55000	28.520258623208946
56000	29.240919077257587
57000	27.947949742847491
58000	27.450266683885854
59000	26.852475988315184
60000	27.338271411261015
61000	28.302572903796253
62000	26.805543468050878
63000	26.098720809564711
64000	26.064765734077465
65000	25.525912041651484
66000	25.263251094976344
67000	25.848558352674111
68000	25.225237541476137
69000	25.013459414000209
70000	23.442270165478821
71000	23.387069000913446
72000	23.241932759651508
73000	23.224516271794077
74000	22.723146626854994
75000	22.273943844984515
76000	22.266369030378460
77000	21.651968337283769
78000	21.791360932399641
79000	20.700827750625635
80000	20.484089587961687
81000	19.931754342334184
82000	19.653479817890101
83000	19.381086130662872
84000	18.979223491498875
85000	18.552835817382316
86000	18.597904560960067
87000	19.067605246952251
88000	17.727314444031091
89000	17.421644509566281
90000	17.719055767932513
91000	16.895100414884965
92000	16.854750505801775
93000	16.722178131895838
94000	16.047788044663566
95000	15.334032641850889
96000	15.854141216747671
97000	15.373436150960625
98000	14.917156174649627
99000	14.817512197035548
100000	14.549290459793793
101000	13.549254317387682
102000	14.052844753295453
103000	13.288035377017342
104000	12.719600861090568
105000	12.480427836203090
106000	12.008007293200398
107000	11.908831472007702
108000	15.008874705223308
109000	11.180190294851343
110000	11.069610385905721
111000	10.755841334644494
112000	10.252936879336755
113000	10.031945927355258
114000	9.934597097981902
115000	10.221259479592819
116000	9.600033774442480
117000	8.745571727071804
118000	8.947803268328506
119000	8.053103035186533
120000	7.835239194829848
121000	8.515419490544696
122000	7.412766155603482
123000	6.990129827104689
124000	6.197503649121732
125000	6.493015563057427
126000	5.544125438239390
127000	6.334491424861878
128000	5.224932811032819
129000	4.474727349185177
130000	4.092137910671728
131000	4.260629381921785
132000	4.102711604559949
133000	4.450679012359194
134000	3.826219342780822
135000	2.961242865136284
136000	2.720418165464406
137000	3.054664811253923
138000	1.942843323134386
139000	1.318406990830305
140000	1.159418681881662
141000	1.240436117673593
142000	0.886096273380822
143000	0.810403495984018
144000	0.661467312332504
145000	0.345444104996083
146000	0.279422751603077
147000	0.265479431874647
148000	0.178329000007940
149000	0.199943857819756
150000	0.058470171337491
151000	0.029030163133255
152000	0.023932119381400
153000	0.028661145479881
154000	0.005488856516723
155000	0.001528911599544
156000	0.000671133777137
157000	0.000132920994642
158000	0.000049902061818
159000	0.000026446591601
160000	0.000005588119161
161000	0.000002177420891
162000	0.000000435428458
163000	0.000000149068330
164000	0.000000030074562
165000	0.000000009326387
166000	0.000000003125259
167000	0.000000001080039
168000	0.000000000285654
169000	0.000000000089083
170000	0.000000000026427
171000	0.000000000003862
172000	0.000000000001467
173000	0.000000000000236
174000	0.000000000000126
174800	0.000000000000053
last result:	(1.0000000001972467,1.0000000026909737,1.0000000024125097,1.00000000243043,1.0000000023260651,0.9999999989255857,0.9999999972310523,0.9999999980690841,0.9999999977837094,0.999999999445999,1.0000000016918889,1.0000000007300087,0.9999999991207014,1.0000000002186102,1.0000000034918923,0.9999999974618223,0.9999999982068726,0.999999997629518,0.9999999993774297,0.9999999994602191,0.9999999975465259,0.9999999973092897,0.9999999988551326,1.0000000006656011,1.0000000012092352,0.9999999974892599,0.9999999996564938,0.999999996833832,1.0000000001957734,0.9999999969179743,0.9999999996268648,0.9999999969560694,0.9999999981622663,1.0000000024543825,1.0000000039776884,1.0000000061977703,1.0000000133081215,1.0000000240359852,1.0000000472046557,1.000000097650941)
