seed	12026030	poultation_size	100	mean	5.271402419560966e-09	sigma	40.0
evals	SphereProblem vlaue
    1	61959.792259505804395
 1000	23366.449878769450152
 2000	12653.886697664887834
 3000	3351.808731014811201
 4000	840.450828069009731
 5000	481.490820959066070
 6000	170.574067572173760
 7000	214.256036336288020
 8000	37.067138345785381
 9000	36.304743501278530
10000	15.809820162149883
11000	11.437546548913682
12000	3.018382667140562
13000	2.566544751321144
14000	0.909531025225932
15000	0.476564487381720
16000	0.190557398732505
17000	0.055694299226150
18000	0.030023507236247
19000	0.015737165759544
20000	0.007065291334856
21000	0.003274766864641
22000	0.001383977266125
23000	0.000753002517918
24000	0.000267126010705
25000	0.000082948326824
26000	0.000061363569527
27000	0.000020716492933
28000	0.000006363712379
29000	0.000005662149403
30000	0.000005525236201
31000	0.000000826363195
32000	0.000000493711285
33000	0.000000354016259
34000	0.000000184826943
35000	0.000000074866279
36000	0.000000043122717
37000	0.000000016895549
38000	0.000000009978528
39000	0.000000003508206
40000	0.000000001344854
41000	0.000000000586953
42000	0.000000000552570
43000	0.000000000269053
44000	0.000000000088322
45000	0.000000000056276
46000	0.000000000017279
47000	0.000000000008679
48000	0.000000000002985
49000	0.000000000001327
50000	0.000000000000566
51000	0.000000000000361
52000	0.000000000000134
52100	0.000000000000106
last result:	(3.012294611660285e-08,-7.123823127706556e-08,4.403873026107179e-08,-1.3334636214106002e-07,-7.312051840810632e-08,-2.2341070013470104e-09,-2.5851622267275824e-08,-2.4380498848198267e-08,-4.556813056926175e-08,-1.8206877180759646e-08,3.285277493953356e-09,-1.7348099011528472e-08,-4.4766551862468805e-08,-3.8455378411252235e-08,-5.232274154034826e-09,-2.8884850708986782e-08,3.440918925829311e-09,2.9148238883035593e-08,-1.860968347616425e-08,-6.195540920067422e-08,-8.912178787530035e-09,-7.739687509316274e-09,3.316196475557868e-08,3.2162109335693866e-08,7.876099438165749e-08,6.283690850069222e-08,-1.2902043018611955e-07,4.9872397761826206e-08,5.3534229884344754e-08,-2.102756697432573e-09,2.1448762840497726e-09,-9.837851313067666e-08,3.697700091599412e-08,1.1463536729368967e-08,-1.0016933435287773e-07,-1.156453679023987e-08,1.5176642303407866e-08,4.017247126407991e-08,4.148033624945643e-08,-4.911931462972316e-08)
