seed	12026021	poultation_size	100	mean	3.0	sigma	40.0
evals	RastrginProblem vlaue
    1	85826.332987460744334
 1000	14284.708630766597707
 2000	3018.966415457504809
 3000	1155.936680830400974
 4000	652.944463512973812
 5000	465.230934366484121
 6000	473.525751085909519
 7000	421.997879629668205
 8000	437.989243116223918
 9000	384.403816669655555
10000	406.656129105480886
11000	350.773859337135491
12000	229.050350141356830
13000	133.331775700818184
14000	75.550001459042178
15000	53.160393477068652
16000	21.851469539019057
17000	18.300175896002290
18000	15.837335237660236
19000	15.082751584548049
20000	14.976549361133591
21000	14.936991674160746
22000	14.926853688322302
23000	14.924943271801643
24000	14.924528256110040
25000	14.924431401179008
26000	14.924409632037815
27000	14.924391926979078
28000	14.924388456298194
29000	14.924386376514921
30000	14.924385984225967
31000	14.924385886591924
32000	14.924385868124972
33000	14.924385859222610
34000	14.924385857266037
35000	14.924385856788048
36000	14.924385856462456
37000	14.924385856416341
38000	14.924385856407042
39000	14.924385856402084
40000	14.924385856400296
41000	14.924385856399637
42000	14.924385856399446
42500	14.924385856399415
last result:	(-0.99495863681558,1.741204362675309e-09,0.994958637320315,9.160814515584422e-10,0.9949586355107446,-3.00584991948907e-09,1.229695464149365e-09,1.5981934373438602e-09,-3.3540302133835456e-09,-2.2809601283181444e-10,1.1477904150691477e-09,-5.149188278186051e-11,-2.639838112344589e-09,-0.9949586372062513,6.119371301855184e-10,-1.526789880916257e-09,1.6806287105343747e-09,-1.7405485395372649e-09,2.716384200310624e-11,-5.502111053571791e-09,2.283673253945474e-09,-0.9949586362190349,-0.9949586327421934,1.413712313024299e-09,-0.9949586333658651,0.9949586369042911,-7.288837135833955e-10,0.994958640303245,-0.9949586381623956,4.842800305714091e-09,-9.769984157504072e-10,-5.296100826062645e-10,-0.994958635720414,1.2649481945924508e-09,0.9949586339236374,0.9949586397682717,-0.9949586322534265,0.9949586342100886,8.596356383034508e-10,-5.874955991540148e-11)
