seed	12026021	poultation_size	100	mean	3.0	sigma	40.0
evals	SchwefelProblem vlaue
    1	16477.927071543865168
 1000	16378.497018723352085
 2000	16676.988122127288079
 3000	16421.756288756427239
 4000	16631.563588905086363
 5000	16084.952355635679851
 6000	15638.269123407859297
 7000	15032.012708876312900
 8000	14608.678336552766268
 9000	14383.338176923201900
10000	14339.059472007353179
11000	14321.335365448156153
12000	14316.075622196705808
13000	14313.927595156619645
14000	14313.144993497147880
15000	14313.123384548976901
16000	14312.917385301971080
17000	14312.896617385478748
18000	14312.887545815750855
19000	14312.884163021724817
20000	14312.883805266410491
21000	14312.883666054000059
22000	14312.883625621427200
23000	14312.883619831400210
24000	14312.883618029434729
25000	14312.883617558571132
26000	14312.883617407767815
27000	14312.883617333922302
28000	14312.883617301740742
29000	14312.883617292125564
30000	14312.883617290166512
31000	14312.883617289569884
32000	14312.883617289458925
33000	14312.883617289422546
34000	14312.883617289409813
35000	14312.883617289406175
36000	14312.883617289404356
37000	14312.883617289404356
38000	14312.883617289404356
39000	14312.883617289404356
40000	14312.883617289404356
41000	14312.883617289406175
42000	14312.883617289404356
43000	14312.883617289404356
44000	14312.883617289404356
45000	14312.883617289404356
46000	14312.883617289404356
47000	14312.883617289404356
48000	14312.883617289406175
49000	14312.883617289404356
50000	14312.883617289404356
51000	14312.883617289404356
52000	14312.883617289404356
53000	14312.883617289404356
54000	14312.883617289404356
55000	14312.883617289404356
56000	14312.883617289404356
57000	14312.883617289404356
58000	14312.883617289404356
59000	14312.883617289404356
60000	14312.883617289404356
61000	14312.883617289404356
62000	14312.883617289404356
63000	14312.883617289404356
64000	14312.883617289404356
65000	14312.883617289404356
66000	14312.883617289404356
67000	14312.883617289404356
68000	14312.883617289404356
68600	14312.883617289404356
last result:	(65.54786458445653,65.5478648908348,65.5478651927042,65.5478654154068,65.54786560064302,65.54786487422363,65.5478652997044,65.54786507131197,65.54786533659636,65.54786565810655,-25.877417219574735,65.5478650523659,65.54786545450426,65.54786574229162,65.54786448065104,65.54786433599449,65.54786487782445,65.54786542798648,-25.87741725423579,65.54786552353458,65.54786520246948,65.54786542441606,65.54786527880147,65.54786502923488,65.54786520327896,65.54786478773595,-25.877417088176138,65.54786597041499,-25.877417591417025,65.54786469117943,-124.82935611063536,65.54786502083155,65.54786542603895,65.54786489750875,65.54786520387361,65.54786481137721,65.54786430342753,65.54786643102888,65.54786546262177,65.5478654673051)
