 evals    EllipsoidProblem vlaue
 3000  27796.914440147131245
 6000  5723.586586634515697
 9000  2213.600860288175681
12000  1171.850179658748402
15000  797.406889271839077
18000  212.605159689947499
21000  103.983904369156974
24000  68.878453365824768
27000  44.846576005542687
30000  22.707794790450674
33000  14.677965196757640
36000  10.356659017341370
39000  6.375702969325131
42000  2.616243772037780
45000  1.662490216327402
48000  1.184656185936091
51000  0.450158109184588
54000  0.145427921205801
57000  0.049174536249295
60000  0.014837806692672
63000  0.000005166323611
66000  0.000000000011340
67845  0.000000000000001
