seed	12026028	poultation_size	100	mean	-5.036835321749532e-09	sigma	40.0
evals	SphereProblem vlaue
    1	101186.114112439798191
 1000	24666.304071600501629
 2000	9453.227291050092390
 3000	5559.514739766439561
 4000	3123.419397045960523
 5000	1185.619201550046228
 6000	381.078679489513888
 7000	195.923187961350351
 8000	145.364670348587737
 9000	90.693958955327929
10000	20.148945232694700
11000	11.574126421750091
12000	5.249513687966847
13000	3.172355264024380
14000	1.545327126337532
15000	0.951823295066547
16000	0.362426976856773
17000	0.191008895965354
18000	0.115413712872858
19000	0.035398977643764
20000	0.019526147185184
21000	0.011984967446521
22000	0.003806706614942
23000	0.002011723830758
24000	0.000337771957538
25000	0.000285969258993
26000	0.000073075491966
27000	0.000036609209624
28000	0.000010496365970
29000	0.000005297806632
30000	0.000002780276612
31000	0.000001142451139
32000	0.000000629178392
33000	0.000000283013924
34000	0.000000109248859
35000	0.000000055384139
36000	0.000000024262928
37000	0.000000016340681
38000	0.000000007077651
39000	0.000000003617153
40000	0.000000002165224
41000	0.000000000800379
42000	0.000000000468470
43000	0.000000000137159
44000	0.000000000084894
45000	0.000000000069369
46000	0.000000000026834
47000	0.000000000009029
48000	0.000000000002862
49000	0.000000000003677
50000	0.000000000000940
51000	0.000000000000432
52000	0.000000000000226
52800	0.000000000000097
last result:	(3.394066556580382e-08,1.3066948739169691e-08,-5.9907284951201555e-09,-2.876479644718347e-08,-5.003946549100307e-08,-7.581313850564189e-08,-2.4145539127852442e-08,-2.6126224961139386e-09,7.193607553671524e-08,5.4148279311321304e-08,2.8233448741594874e-08,2.674784584932888e-08,-8.372875234868775e-09,-1.284428639659112e-07,-1.5504897764120696e-08,-4.2819898320313764e-10,-5.082038176056423e-08,-1.3952898280087418e-08,5.90851149377318e-08,-1.2642233257853313e-09,1.904940853853024e-08,-3.950112984844832e-08,7.611853012125841e-08,-4.004182792502861e-08,-5.1821719463130066e-08,-1.5183475293669274e-10,-8.095802171777892e-08,8.634295922317235e-08,1.8818291162002112e-08,-4.755999791707668e-08,-2.3891261031957755e-08,1.6531938824454376e-08,-5.8249002746431084e-08,-4.96429559740539e-08,1.05273611075306e-07,3.646317873862908e-09,3.539593013647523e-08,-5.740376792151765e-08,-2.4390950758890587e-08,4.616632386628505e-08)
