seed	12026023	poultation_size	100	mean	1.242773524094833e-11	sigma	40.0
evals	AckleyProblem vlaue
    1	21.723337532419837
 1000	21.686187673726828
 2000	21.683317160809917
 3000	21.742346485935617
 4000	21.492158490489381
 5000	21.370453065270649
 6000	20.283506740233552
 7000	16.986306180531955
 8000	12.436263343406688
 9000	7.975534176863169
10000	5.274118468603660
11000	3.880077954713042
12000	2.521453551204534
13000	1.783660902581719
14000	1.151306318658766
15000	0.625482233325290
16000	0.225593767610708
17000	0.097163858028896
18000	0.057498885981439
19000	0.042796632394726
20000	0.019650802938017
21000	0.010392613009135
22000	0.004125153822490
23000	0.002968109840108
24000	0.001774216540430
25000	0.000806264066430
26000	0.000427965631673
27000	0.000220248458451
28000	0.000105334325053
29000	0.000084061543817
30000	0.000030254629479
31000	0.000017785758992
32000	0.000008681072388
33000	0.000005260236482
34000	0.000002601247044
35000	0.000001647353596
36000	0.000000948654826
37000	0.000000537345084
38000	0.000000293692147
39000	0.000000168691710
40000	0.000000088574847
41000	0.000000041883098
42000	0.000000027060960
43000	0.000000015607125
44000	0.000000007087291
45000	0.000000004421580
46000	0.000000002359589
47000	0.000000001065850
48000	0.000000000677030
49000	0.000000000307928
50000	0.000000000237744
50400	0.000000000152437
last result:	(4.130961437158563e-11,-2.9077157497163412e-11,2.3695571639218865e-11,-1.2738305556641107e-11,6.020637820431106e-11,4.9712309161231936e-11,4.992683332982454e-12,2.0765580574378776e-11,-8.784659236599527e-11,3.602136532837889e-13,7.793850232984559e-11,7.892427990449871e-12,4.3843224608523134e-12,9.035583436292618e-11,1.3225031745062999e-12,1.6242550479353616e-11,2.3435812300715613e-11,-1.8044592589253655e-11,2.269415216453498e-11,1.712951883785853e-11,-2.543986671717881e-11,1.0084681748206697e-11,-2.3038251710367837e-11,-3.416062376928052e-11,2.4073729962541877e-11,-3.9958644015521116e-11,-1.1774389919842424e-11,4.3637672465461404e-11,6.256125490528471e-12,-7.640343873259936e-12,2.849300432167956e-11,-2.3931998418257138e-11,4.601924240117231e-11,-4.648939657896797e-11,6.095318388716698e-11,-1.2429049561024403e-11,9.619702893288232e-13,6.249905251744189e-11,4.300576674372546e-11,-4.716870454403811e-11)
