seed	12026025	poultation_size	100	mean	3.0	sigma	40.0
evals	RastrginProblem vlaue
    1	55237.567838100978406
 1000	21619.742283754472737
 2000	14199.644605414590842
 3000	8382.270646896995459
 4000	4127.586199096344899
 5000	1455.506423430029599
 6000	1084.593019110848900
 7000	889.246297906392215
 8000	547.747811844628018
 9000	590.708282473217082
10000	497.991185169267851
11000	524.023970619294573
12000	431.177628476795462
13000	477.074934353400465
14000	425.236003250486760
15000	395.564742344938452
16000	409.640553084729902
17000	404.287276951009005
18000	425.372818148041290
19000	389.973038335551280
20000	389.154011025898512
21000	451.093290272450076
22000	388.553935079003168
23000	350.880208936242127
24000	387.367407422540111
25000	422.662054815906743
26000	434.925757100938199
27000	446.982913204739248
28000	425.215091027064318
29000	440.649390483311379
30000	468.656102647598800
31000	337.492229307751927
32000	336.763257592934394
33000	230.108000206362533
34000	210.108304081604956
35000	159.343739401163248
36000	106.289050100715954
37000	45.097518181718392
38000	48.172832104771118
39000	32.926642349456472
40000	25.338967382543899
41000	22.264404488374964
42000	21.631648301532096
43000	21.234189772539747
44000	21.047178140376829
45000	21.047364672069776
46000	20.940370994523505
47000	20.916697304458538
48000	20.910991374709489
49000	20.900503908602833
50000	20.897501534030319
51000	20.895683441496637
52000	20.894982307040884
53000	20.894785791043883
54000	20.894559601222902
55000	20.894263793126093
56000	20.894190680291295
57000	20.894154540975581
58000	20.894149545530805
59000	20.894144967416828
60000	20.894143623128805
61000	20.894141167385534
62000	20.894140792546668
63000	20.894140413911742
64000	20.894140282887729
65000	20.894140248427082
66000	20.894140217368101
67000	20.894140208847332
68000	20.894140202983699
69000	20.894140200629806
70000	20.894140199412213
71000	20.894140199484525
72000	20.894140199191863
73000	20.894140199006785
74000	20.894140198980512
75000	20.894140198966525
76000	20.894140198963647
77000	20.894140198961239
78000	20.894140198960450
79000	20.894140198959441
80000	20.894140198959349
80800	20.894140198959224
last result:	(-9.218392190798312e-10,0.9949586366816648,0.9949586367109541,-0.9949586344211487,-0.9949586350573582,-0.9949586373042733,3.149056610885571e-10,-2.9603225144108238e-09,-0.99495863208289,0.994958634738675,3.4061649857705034e-10,-3.611496408366067e-09,0.9949586353994696,-2.40070424002636e-10,-1.5130036415982984e-09,1.3858331222216407e-09,0.994958643047964,3.2457876135101597e-09,-1.0429856455562983e-09,0.9949586388786174,0.9949586344583109,-1.939745203728702e-09,9.059370750672061e-10,-5.98502900327188e-09,1.9679107290226967e-09,-0.9949586421977157,-0.994958637031638,0.9949586353496986,-0.9949586418796615,-0.9949586378395179,-6.222861041467334e-09,-0.9949586287104524,-3.100066381767987e-09,0.9949586411477516,1.5820017396472079e-09,-0.9949586340328406,0.994958639604552,-0.9949586298310783,5.3367449729997055e-09,-4.2832983771381376e-09)
