seed	12026022	poultation_size	100	mean	3.0	sigma	40.0
evals	AckleyProblem vlaue
    1	21.735524004568688
 1000	21.692312384260749
 2000	21.625638999886284
 3000	21.043043794459461
 4000	18.647816684434527
 5000	14.627972175696719
 6000	9.742413531726561
 7000	7.921479460363416
 8000	5.053430903805239
 9000	3.827795458489057
10000	2.317446304617981
11000	1.358589542069077
12000	0.677021368256984
13000	0.418469683015783
14000	0.128709168736475
15000	0.072206114354078
16000	0.035655841109805
17000	0.016723389927858
18000	0.007562828166187
19000	0.004981661604142
20000	0.002562682180653
21000	0.000883462304035
22000	0.000656826960075
23000	0.000342509942677
24000	0.000208837524199
25000	0.000080818363216
26000	0.000045855469040
27000	0.000022452274426
28000	0.000012064580624
29000	0.000007438857296
30000	0.000003490882297
31000	0.000001798862634
32000	0.000000930516333
33000	0.000000512697330
34000	0.000000335709793
35000	0.000000149542910
36000	0.000000088506085
37000	0.000000040044644
38000	0.000000018926791
39000	0.000000010157056
40000	0.000000006694667
41000	0.000000003378166
42000	0.000000001882999
43000	0.000000000945577
44000	0.000000000465356
45000	0.000000000276149
46000	0.000000000128108
46100	0.000000000131881
last result:	(1.7667004812191914e-11,-4.7977166647060403e-11,2.1365596729648393e-11,-4.05914535400064e-11,-1.6043810301144265e-11,1.0816570504889675e-11,-2.0921635809385787e-11,2.8363270417226063e-11,2.995419103507067e-11,3.860730231710919e-11,-4.1905472584332363e-11,1.3097374410335497e-11,2.0466659164017005e-11,-6.537229080758356e-11,-8.523805125543589e-12,-2.037740247131475e-11,6.829644275762577e-11,1.536491377210788e-11,6.111980922179824e-12,-1.2281914242609904e-11,-2.9716398792296755e-11,2.943743036742081e-11,-2.7175161277360224e-12,-4.902036933236814e-11,-2.9599725942698495e-11,2.389177501713041e-11,3.352047062889121e-11,-2.9041161432072216e-13,4.713627949892741e-11,-1.2001473854083574e-11,-6.507877836555724e-11,-2.576159950322087e-11,-3.720067079147404e-11,3.382567906787703e-11,-9.868184798214853e-12,4.060804576385468e-11,-6.235548403348703e-11,8.183834043923304e-12,1.1419507717956428e-11,-1.4349786489201931e-11)
