seed	12026030	poultation_size	100	mean	3.0	sigma	40.0
evals	SchwefelProblem vlaue
    1	16643.002197146888648
 1000	16832.655829538351099
 2000	16598.750910957816814
 3000	17041.750500611520692
 4000	16483.571695574115438
 5000	16129.790495909146557
 6000	15726.240042126293702
 7000	15802.380181273543712
 8000	15083.295446716994775
 9000	14788.953324018433705
10000	14572.359664888141197
11000	14498.985540786277852
12000	14374.186348903991529
13000	14353.454752182655284
14000	14324.112142310113995
15000	14321.126737603692163
16000	14316.524853828219420
17000	14314.113378200061561
18000	14313.624293953833330
19000	14313.221809434557144
20000	14313.028865539428807
21000	14312.940188601023692
22000	14312.922252584183298
23000	14312.899896095352233
24000	14312.888835404361089
25000	14312.885273437612341
26000	14312.885004224284785
27000	14312.884183457485051
28000	14312.883975171178463
29000	14312.883906160786864
30000	14312.883792610356977
31000	14312.883647966589706
32000	14312.883633439721962
33000	14312.883626737964732
34000	14312.883622204033600
35000	14312.883618520714663
36000	14312.883618053481769
37000	14312.883617627037893
38000	14312.883617443771072
39000	14312.883617367797342
40000	14312.883617320454505
41000	14312.883617298353784
42000	14312.883617299256002
43000	14312.883617293129646
44000	14312.883617290939583
45000	14312.883617290477559
46000	14312.883617289935501
47000	14312.883617289757240
48000	14312.883617289498943
49000	14312.883617289433460
50000	14312.883617289429822
51000	14312.883617289424365
52000	14312.883617289409813
53000	14312.883617289406175
54000	14312.883617289406175
55000	14312.883617289404356
56000	14312.883617289404356
57000	14312.883617289404356
58000	14312.883617289404356
59000	14312.883617289404356
60000	14312.883617289404356
61000	14312.883617289404356
62000	14312.883617289404356
63000	14312.883617289404356
64000	14312.883617289404356
65000	14312.883617289404356
66000	14312.883617289404356
67000	14312.883617289404356
68000	14312.883617289406175
69000	14312.883617289404356
70000	14312.883617289404356
71000	14312.883617289404356
72000	14312.883617289404356
73000	14312.883617289404356
74000	14312.883617289404356
75000	14312.883617289404356
76000	14312.883617289404356
77000	14312.883617289404356
78000	14312.883617289404356
79000	14312.883617289404356
80000	14312.883617289404356
81000	14312.883617289404356
82000	14312.883617289404356
83000	14312.883617289404356
84000	14312.883617289404356
85000	14312.883617289404356
86000	14312.883617289404356
87000	14312.883617289404356
88000	14312.883617289404356
89000	14312.883617289404356
90000	14312.883617289404356
91000	14312.883617289404356
92000	14312.883617289404356
93000	14312.883617289404356
94000	14312.883617289404356
94400	14312.883617289404356
last result:	(-25.877418479427636,65.54786503907377,65.54786488911117,65.54786484432226,65.547864704993,65.54786481704753,65.54786458356749,65.5478654018781,65.54786592930547,65.54786476176459,65.54786535612888,65.5478650301336,65.54786442086562,65.54786498262632,65.54786627402034,65.54786415333221,65.54786473474584,-25.877417106935102,65.5478648372462,65.54786546165408,65.54786496001637,65.54786556753852,65.54786499844978,65.54786493919725,65.5478650230826,65.54786599236999,65.54786506906122,65.54786558722407,65.54786588108834,-25.87741726741136,65.54786452993287,65.54786522850009,65.54786560280628,65.54786531243494,-124.82935609712828,65.54786454022354,-25.877417212782248,65.54786451089564,65.5478658707801,65.54786454999288)
