seed	12026021	poultation_size	100	mean	3.0	sigma	40.0
evals	SchwefelProblem vlaue
    1	16477.927071543865168
 1000	16445.682110789086437
 2000	16368.866195047945439
 3000	16000.392698758883853
 4000	16126.111602555489299
 5000	15234.288696418812833
 6000	14810.568909049372451
 7000	14701.098746668261811
 8000	14549.755964145067992
 9000	14520.655759228371608
10000	14513.411926959113771
11000	14511.875866070891789
12000	14510.987281124336732
13000	14510.753136362522127
14000	14510.673436278944791
15000	14510.664732898703733
16000	14510.646037017661001
17000	14510.645176701185846
18000	14510.644171624346200
19000	14510.643804094874213
20000	14510.643748434849840
21000	14510.643732442711553
22000	14510.643727500722889
23000	14510.643726356076513
24000	14510.643726042682829
25000	14510.643725968950093
26000	14510.643725946412815
27000	14510.643725934873146
28000	14510.643725933145106
29000	14510.643725932093730
30000	14510.643725931920926
31000	14510.643725931853623
32000	14510.643725931840891
33000	14510.643725931837253
34000	14510.643725931837253
35000	14510.643725931835434
36000	14510.643725931835434
37000	14510.643725931835434
38000	14510.643725931835434
39000	14510.643725931835434
40000	14510.643725931835434
41000	14510.643725931835434
41600	14510.643725931835434
last result:	(-25.87741758877818,65.54786540321349,65.54786536547167,65.54786517447108,65.54786470454786,65.54786431411449,65.54786547083458,-25.87741789945446,65.5478650059196,65.54786542294212,65.54786502647455,65.54786598155107,-25.877417240236834,65.54786509452323,65.54786509736064,65.54786427702909,65.54786477918273,65.54786469585568,65.54786502680523,65.54786493632729,-25.877417477746942,65.54786491347171,65.54786500033649,-124.8293563919799,65.54786486240971,65.54786468238801,-25.877417064879356,65.54786454869314,65.54786445036817,65.54786492826537,-25.87741733402515,-25.877418565206558,65.5478643598814,-25.877417649944277,65.54786421695621,65.5478651245916,65.54786534229036,65.54786456935616,-25.877416894848082,65.54786500957832)
